Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4953,0.5356,0.5759,0.6335,0.6738,0.7199,0.7832,0.8465,0.9099,0.979,1.0481,1.1172,1.1863,1.2554,1.3245
Normal,x2HitDMG,ATK,0.5075,0.5488,0.5901,0.6491,0.6904,0.7376,0.8026,0.8675,0.9324,1.0032,1.074,1.1448,1.2156,1.2864,1.3573
Normal,x3HitDMG,ATK,0.6836,0.7392,0.7948,0.8744,0.93,0.9936,1.081,1.1684,1.2558,1.3512,1.4466,1.542,1.6374,1.7328,1.8282
Normal,x4HitDMG,ATK,0.6677,0.722,0.7764,0.854,0.9084,0.9705,1.0559,1.1413,1.2267,1.3198,1.413,1.5062,1.5993,1.6925,1.7857
Normal,x5HitDMG,ATK,0.8385,0.9068,0.975,1.0725,1.1408,1.2188,1.326,1.4333,1.5405,1.6575,1.7745,1.8915,2.0085,2.1255,2.2425
Normal,ChargedAttackDMG,ATK,1.1052,1.195,1.285,1.4134,1.5034,1.6062,1.7476,1.889,2.0302,2.1844,2.3388,2.4928,2.647,2.8014,2.9554
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,RushAttackDMG,EM,3.4848,3.7462,4.0075,4.356,4.6174,4.8787,5.2272,5.5757,5.9242,6.2726,6.6211,6.9696,7.4052,7.8408,8.2764
Skill,ProjectionAttackInterval,ATK,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Skill,x1MirrorProjectionAttackDMG,EM,2.016,2.1672,2.3184,2.52,2.6712,2.8224,3.024,3.2256,3.4272,3.6288,3.8304,4.032,4.284,4.536,4.788
Skill,x2MirrorProjectionAttackDMG,EM,2.036,2.1872,2.3384,2.54,2.6912,2.8424,3.044,3.2456,3.4472,3.6488,3.8504,4.052,4.304,4.556,4.808
Skill,x3MirrorProjectionAttackDMG,EM,2.046,2.1972,2.3484,2.55,2.7012,2.8524,3.054,3.2556,3.4572,3.6588,3.8604,4.062,4.314,4.566,4.818
Skill,ChiselLightMirrorRemovalInterval,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Skill,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,SingleInstanceDMG,EM,2.1888,2.353,2.5171,2.736,2.9002,3.0643,3.2832,3.5021,3.721,3.9398,4.1587,4.3776,4.6512,4.9248,5.1984
Burst,BasicAttackInstances,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,x1MirrorAttackInstances,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,x2MirrorAttackInstances,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,x3MirrorAttackInstances,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
