Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3612,0.3906,0.42,0.462,0.4914,0.525,0.5712,0.6174,0.6636,0.714,0.7644,0.8148,0.8652,0.9156,0.966
Normal,x2HitDMG,ATK,0.3612,0.3906,0.42,0.462,0.4914,0.525,0.5712,0.6174,0.6636,0.714,0.7644,0.8148,0.8652,0.9156,0.966
Normal,x3HitDMG,ATK,0.4644,0.5022,0.54,0.594,0.6318,0.675,0.7344,0.7938,0.8532,0.918,0.9828,1.0476,1.1124,1.1772,1.242
Normal,x4HitDMG,ATK,0.473,0.5115,0.55,0.605,0.6435,0.6875,0.748,0.8085,0.869,0.935,1.001,1.067,1.133,1.199,1.265
Normal,x5HitDMG,ATK,0.5934,0.6417,0.69,0.759,0.8073,0.8625,0.9384,1.0143,1.0902,1.173,1.2558,1.3386,1.4214,1.5042,1.587
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,InheritedHP,HP,0.4136,0.4446,0.4756,0.517,0.548,0.579,0.6204,0.6618,0.7031,0.7445,0.7858,0.8272,0.8789,0.9306,0.9823
Skill,ExplosionDMG,ATK,1.232,1.3244,1.4168,1.54,1.6324,1.7248,1.848,1.9712,2.0944,2.2176,2.3408,2.464,2.618,2.772,2.926
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,FieryRainDMGPerWave,ATK,0.2808,0.3019,0.3229,0.351,0.3721,0.3931,0.4212,0.4493,0.4774,0.5054,0.5335,0.5616,0.5967,0.6318,0.6669
Burst,TotalFieryRainDMG,ATK,5.0544,5.4335,5.8126,6.318,6.6971,7.0762,7.5816,8.087,8.5925,9.0979,9.6034,10.1088,10.7406,11.3724,12.0042
Burst,Duration,ATK,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
