Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,N1,ATK,0.4750,0.5137,0.5523,0.6076,0.6462,0.6904,0.7512,0.8119,0.8727,0.9390,1.0052,1.0715,1.1378,1.2041,1.2041
Normal,N2,ATK,0.5211,0.5635,0.6059,0.6665,0.7089,0.7574,0.8240,0.8906,0.9573,1.0300,1.1027,1.1754,1.2481,1.3208,1.3208
Normal,N3,ATK,0.6539,0.7071,0.7603,0.8363,0.8896,0.9504,1.0340,1.1176,1.2013,1.2925,1.3837,1.4750,1.5662,1.6575,1.6575
Normal,N4A,ATK,0.3715,0.4017,0.4319,0.4751,0.5053,0.5399,0.5874,0.6349,0.6824,0.7343,0.7862,0.8381,0.8900,0.9419,0.9419
Normal,N4B,ATK,0.3715,0.4017,0.4319,0.4751,0.5053,0.5399,0.5874,0.6349,0.6824,0.7343,0.7862,0.8381,0.8900,0.9419,0.9419
Normal,N5,ATK,0.6998,0.7568,0.8137,0.8951,0.9521,1.0172,1.1067,1.1962,1.2857,1.3834,1.4810,1.5787,1.6763,1.7740,1.7740
Normal,N6,ATK,0.8538,0.9233,0.9928,1.0920,1.1615,1.2410,1.3502,1.4594,1.5686,1.6877,1.8068,1.9260,2.0451,2.1642,2.1642
Skill,MasqueBonus,ATK,1.2040,1.3020,1.4000,1.5400,1.6380,1.7500,1.9040,2.0580,2.2120,2.3800,2.5480,2.7160,2.8840,3.0520,3.0520
Skill,Spike,ATK,1.3356,1.4358,1.5360,1.6695,1.7697,1.8698,2.0034,2.1370,2.2706,2.4041,2.5377,2.6712,2.8382,3.0051,3.0051
Skill,DebtTick,ATK,0.3180,0.3419,0.3657,0.3975,0.4214,0.4452,0.4770,0.5088,0.5406,0.5724,0.6042,0.6360,0.6758,0.7155,0.7155
Burst,Cast,ATK,3.7040,3.9818,4.2596,4.6300,4.9078,5.1856,5.5560,5.9264,6.2968,6.6672,7.0376,7.4080,7.8710,8.3340,8.3340
