Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.608,0.6575,0.707,0.7777,0.8272,0.8838,0.9615,1.0393,1.1171,1.2019,1.2867,1.3716,1.4564,1.5413,1.6261
Normal,x2HitDMG,ATK,0.6115,0.6612,0.711,0.7821,0.8319,0.8888,0.967,1.0452,1.1234,1.2087,1.294,1.3793,1.4647,1.55,1.6353
Normal,x3HitDMG,ATK,0.7886,0.8528,0.917,1.0087,1.0729,1.1462,1.2471,1.348,1.4489,1.5589,1.6689,1.7789,1.8891,1.9991,2.1091
Normal,x4HitDMG,ATK,0.9494,1.0267,1.104,1.2144,1.2917,1.38,1.5014,1.6229,1.7443,1.8768,2.0093,2.1418,2.2742,2.4067,2.5392
Normal,ChargedAttackDMG,ATK,1.2418,1.3429,1.444,1.5884,1.6895,1.805,1.9638,2.1227,2.2815,2.4548,2.6281,2.8014,2.9746,3.1479,3.3212
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,ShieldDMGAbsorption,HP,11.68,12.839,14.098,15.46,16.919,18.468,20.11,21.862,23.704,25.636,27.678,29.81,32.035,34.36,36.785
Skill,BasicDMG,HP,0.12,0.129,0.138,0.15,0.159,0.168,0.18,0.192,0.204,0.216,0.228,0.24,0.255,0.27,0.285
Skill,ChargedUpDMG,HP,0.1904,0.2047,0.219,0.238,0.2523,0.2666,0.2856,0.3046,0.3237,0.3427,0.3618,0.3808,0.4046,0.4284,0.4522
Skill,PressCD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,HoldCD,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,SkillDMG,HP,0.0661,0.0711,0.076,0.0826,0.0876,0.0925,0.0992,0.1058,0.1124,0.119,0.1256,0.1322,0.1405,0.1487,0.157
Burst,Duration,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,DMGBonus,ATK,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Burst,WaveImpactDMG,HP,0.0661,0.0711,0.076,0.0826,0.0876,0.0925,0.0992,0.1058,0.1124,0.119,0.1256,0.1322,0.1405,0.1487,0.157
Burst,WaveInstances,ATK,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
