Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.7,0.757,0.814,0.8954,0.9524,1.0175,1.107,1.1966,1.2861,1.3838,1.4815,1.5792,1.6768,1.7745,1.8722
Normal,x2HitDMG,ATK,0.6312,0.6826,0.734,0.8074,0.8588,0.9175,0.9982,1.079,1.1597,1.2478,1.3359,1.424,1.512,1.6001,1.6882
Normal,x3HitDMG,ATK,0.8032,0.8686,0.934,1.0274,1.0928,1.1675,1.2702,1.373,1.4757,1.5878,1.6999,1.812,1.924,2.0361,2.1482
Normal,x4HitDMG,ATK,1.0122,1.0946,1.177,1.2947,1.3771,1.4713,1.6007,1.7302,1.8597,2.0009,2.1421,2.2834,2.4246,2.5659,2.7071
Normal,ChargedAttackCyclicDMG,ATK,0.5629,0.6087,0.6545,0.7199,0.7657,0.8181,0.8901,0.9621,1.0341,1.1126,1.1912,1.2697,1.3482,1.4268,1.5053
Normal,ChargedAttackFinalDMG,ATK,1.0178,1.1007,1.1835,1.3018,1.3847,1.4794,1.6096,1.7397,1.8699,2.012,2.154,2.296,2.438,2.58,2.722
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,SkillDMG,ATK,1.7204,1.8494,1.9785,2.1505,2.2795,2.4086,2.5806,2.7526,2.9247,3.0967,3.2688,3.4408,3.6558,3.8709,4.0859
Skill,InfusionDuration,ATK,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3,3,3,3
Skill,FieldDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,1.424,1.5308,1.6376,1.78,1.8868,1.9936,2.136,2.2784,2.4208,2.5632,2.7056,2.848,3.026,3.204,3.382
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
