Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.436,0.4715,0.507,0.5577,0.5932,0.6338,0.6895,0.7453,0.8011,0.8619,0.9227,0.9836,1.0444,1.1053,1.1661
Normal,x2HitDMG,ATK,0.4266,0.4613,0.496,0.5456,0.5803,0.62,0.6746,0.7291,0.7837,0.8432,0.9027,0.9622,1.0218,1.0813,1.1408
Normal,x3HitDMG,ATK,0.5409,0.585,0.629,0.6919,0.7359,0.7862,0.8554,0.9246,0.9938,1.0693,1.1448,1.2203,1.2957,1.3712,1.4467
Normal,x4HitDMG,ATK,0.6803,0.7356,0.791,0.8701,0.9255,0.9887,1.0758,1.1628,1.2498,1.3447,1.4396,1.5345,1.6295,1.7244,1.8193
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,1.512,1.6254,1.7388,1.89,2.0034,2.1168,2.268,2.4192,2.5704,2.7216,2.8728,3.024,3.213,3.402,3.591
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,ExplosionDMG,ATK,2.0182,2.1696,2.321,2.5228,2.6742,2.8255,3.0274,3.2292,3.431,3.6328,3.8347,4.0365,4.2888,4.541,4.7933
Burst,LeapDMG,ATK,0.4325,0.4649,0.4974,0.5406,0.573,0.6055,0.6487,0.692,0.7352,0.7785,0.8217,0.865,0.919,0.9731,1.0271
Burst,Duration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
