Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4355,0.4709,0.5064,0.557,0.5924,0.633,0.6887,0.7443,0.8,0.8608,0.9216,0.9823,1.0431,1.1039,1.1646
Normal,x2HitDMG,ATK,0.401,0.4336,0.4663,0.5129,0.5455,0.5828,0.6341,0.6854,0.7367,0.7927,0.8486,0.9046,0.9605,1.0165,1.0724
Normal,x3HitDMG,ATK,0.5276,0.5706,0.6135,0.6748,0.7178,0.7669,0.8344,0.9019,0.9693,1.043,1.1166,1.1902,1.2638,1.3374,1.411
Normal,x4HitDMG,ATK,0.6566,0.71,0.7635,0.8398,0.8932,0.9543,1.0383,1.1223,1.2063,1.2979,1.3895,1.4811,1.5727,1.6643,1.756
Normal,ChargedAttackDMG,ATK,0.9495,1.0267,1.104,1.2144,1.2917,1.38,1.5014,1.6229,1.7443,1.8768,2.0093,2.1417,2.2743,2.4067,2.5392
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,2.328,2.5026,2.6772,2.91,3.0846,3.2592,3.492,3.7248,3.9576,4.1904,4.4232,4.656,4.947,5.238,5.529
Skill,SkillCD,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,SkillDMG,ATK,4.064,4.3688,4.6736,5.08,5.3848,5.6896,6.096,6.5024,6.9088,7.3152,7.7216,8.128,8.636,9.144,9.652
Burst,ShieldOfSacredFavorDMGAbsorption,HP,3.2736,3.5961,3.9486,4.332,4.7345,5.167,5.6304,6.1238,6.6371,7.1805,7.7538,8.3472,8.9714,9.6256,10.2998
Burst,FavonianFavorDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
