Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4856,0.5251,0.5647,0.6211,0.6607,0.7058,0.7679,0.83,0.8922,0.9599,1.0277,1.0954,1.1632,1.231,1.2987
Normal,x2HitDMG,ATK,0.449,0.4855,0.522,0.5742,0.6108,0.6525,0.71,0.7674,0.8248,0.8875,0.9501,1.0128,1.0754,1.138,1.2007
Normal,x3HitDMG,ATK,0.593,0.6413,0.6895,0.7585,0.8068,0.8619,0.9378,1.0136,1.0895,1.1722,1.255,1.3377,1.4205,1.5032,1.5859
Normal,x4HitDMG,ATK,0.751,0.8122,0.8733,0.9606,1.0217,1.0916,1.1877,1.2837,1.3798,1.4846,1.5894,1.6942,1.799,1.9038,2.0086
Normal,ChargedAttackDMG,ATK,0.9133,0.9877,1.062,1.1682,1.2425,1.3275,1.4443,1.5611,1.678,1.8054,1.9328,2.0603,2.1877,2.3152,2.4426
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,0.4708,0.5061,0.5414,0.5885,0.6238,0.6591,0.7062,0.7533,0.8004,0.8474,0.8945,0.9416,1.0005,1.0593,1.1181
Skill,Level1LumidouceCaseAttackDMG,ATK,0.396,0.4257,0.4554,0.495,0.5247,0.5544,0.594,0.6336,0.6732,0.7128,0.7524,0.792,0.8415,0.891,0.9405
Skill,Level2LumidouceCaseAttackDMG,ATK,0.86,0.923,0.986,1.07,1.133,1.196,1.28,1.364,1.448,1.532,1.616,1.7,1.805,1.91,2.015
Skill,LumidouceCaseDuration,ATK,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Skill,SpiritbreathThornDMG,ATK,0.3852,0.4141,0.443,0.4815,0.5104,0.5393,0.5778,0.6163,0.6548,0.6934,0.7319,0.7704,0.8185,0.8667,0.9148
Skill,SpiritbreathThornInterval,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,SkillCD,ATK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Burst,Level3LumidouceCaseAttackDMG,ATK,2.172,2.3349,2.4978,2.715,2.8779,3.0408,3.258,3.4752,3.6924,3.9096,4.1268,4.344,4.6155,4.887,5.1585
Burst,Level3LumidouceCaseDuration,ATK,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
Burst,CD,ATK,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Burst,EnergyCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
