Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.8973,0.9704,1.0434,1.1477,1.2208,1.3043,1.419,1.5338,1.6486,1.7738,1.9172,2.086,2.2547,2.4234,2.6075
Normal,x2HitDMG,ATK,0.9355,1.0117,1.0878,1.1966,1.2727,1.3598,1.4794,1.5991,1.7187,1.8493,1.9988,2.1747,2.3506,2.5265,2.7184
Normal,x3HitDMG,ATK,1.136,1.2284,1.3208,1.453,1.5454,1.6512,1.7964,1.9418,2.087,2.2456,2.4272,2.6408,2.8544,3.068,3.301
Normal,x4HitDMG,ATK,1.1264,1.2181,1.3098,1.4408,1.5325,1.6372,1.7813,1.9254,2.0695,2.2267,2.4068,2.6186,2.8303,3.0421,3.2732
Normal,x5HitDMG,ATK,1.4366,1.5536,1.6706,1.8376,1.9546,2.0882,2.272,2.4558,2.6394,2.84,3.0696,3.3398,3.6098,3.88,4.1748
Normal,ChargedAttackSpinningDMG,ATK,0.688,0.744,0.8,0.88,0.936,1,1.088,1.176,1.264,1.36,1.47,1.5994,1.7287,1.8581,1.9992
Normal,ChargedAttackFinalDMG,ATK,1.244,1.3452,1.4465,1.5912,1.6924,1.8081,1.9672,2.1264,2.2855,2.459,2.6579,2.8918,3.1257,3.3596,3.6148
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5937,1.7339,1.8741,2.0144,2.1674
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.167,7.7977,8.4283,9.059,9.747
Skill,PressDMG,ATK,1.464,1.5738,1.6836,1.83,1.9398,2.0496,2.196,2.3424,2.4888,2.6352,2.7816,2.928,3.111,3.294,3.477
Skill,HoldDMG,ATK,2.456,2.6402,2.8244,3.07,3.2542,3.4384,3.684,3.9296,4.1752,4.4208,4.6664,4.912,5.219,5.526,5.833
Skill,IcewhirlBrandDMG,ATK,0.96,1.032,1.104,1.2,1.272,1.344,1.44,1.536,1.632,1.728,1.824,1.92,2.04,2.16,2.28
Skill,DEFBonus,DEF,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Skill,GrimheartDuration,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Skill,PhysicalRESDecrease,ATK,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.25
Skill,CryoRESDecrease,ATK,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.25
Skill,RESDecreaseDuration,ATK,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Skill,PressCD,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Skill,HoldCD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,SkillDMG,ATK,2.456,2.6402,2.8244,3.07,3.2542,3.4384,3.684,3.9296,4.1752,4.4208,4.6664,4.912,5.219,5.526,5.833
Burst,LightfallSwordBaseDMG,ATK,3.6705,3.9692,4.268,4.6948,4.9936,5.335,5.8045,6.274,6.7434,7.2556,7.8425,8.5326,9.2227,9.9129,10.6657
Burst,DMGPerStack,ATK,0.7499,0.811,0.872,0.9592,1.0202,1.09,1.1859,1.2818,1.3778,1.4824,1.6023,1.7433,1.8843,2.0253,2.1791
Burst,MaximumStacks,ATK,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
