Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4473,0.4837,0.5201,0.5721,0.6085,0.6501,0.7074,0.7646,0.8218,0.8842,0.9466,1.009,1.0714,1.1338,1.1963
Normal,x2HitDMG,ATK,0.4219,0.4562,0.4905,0.5396,0.5739,0.6132,0.6671,0.7211,0.7751,0.8339,0.8928,0.9516,1.0105,1.0694,1.1282
Normal,x3HitDMG,ATK,0.5316,0.5749,0.6182,0.68,0.7233,0.7727,0.8407,0.9087,0.9767,1.0509,1.1251,1.1993,1.2735,1.3476,1.4218
Normal,x4HitDMG,ATK,0.7062,0.7637,0.8212,0.9033,0.9608,1.0265,1.1168,1.2071,1.2974,1.396,1.4945,1.5931,1.6916,1.7902,1.8887
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,1.488,1.5996,1.7112,1.86,1.9716,2.0832,2.232,2.3808,2.5296,2.6784,2.8272,2.976,3.162,3.348,3.534
Skill,PressurizedCollapseVortexDMG,ATK,1.08,1.161,1.242,1.35,1.431,1.512,1.62,1.728,1.836,1.944,2.052,2.16,2.295,2.43,2.565
Skill,ManifestGaleDuration,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Skill,CD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,SkillDMG,ATK,3.776,4.0592,4.3424,4.72,5.0032,5.2864,5.664,6.0416,6.4192,6.7968,7.1744,7.552,8.024,8.496,8.968
Burst,AnemoDMGBonus,ATK,0.18,0.1935,0.207,0.225,0.2385,0.252,0.27,0.288,0.306,0.324,0.342,0.36,0.3825,0.405,0.4275
Burst,PrayerfulWindsBenefitDuration,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,AnemoRESDecrease,ATK,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Burst,PerfidiousWindsBaleDuration,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
