Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4412,0.4771,0.513,0.5643,0.6002,0.6413,0.6977,0.7541,0.8105,0.8721,0.9337,0.9952,1.0568,1.1183,1.1799
Normal,x2HitDMG,ATK,0.4678,0.5059,0.544,0.5984,0.6365,0.68,0.7398,0.7997,0.8595,0.9248,0.9901,1.0554,1.1206,1.1859,1.2512
Normal,x3HitDMG,ATK,0.5814,0.6287,0.676,0.7436,0.7909,0.845,0.9194,0.9937,1.0681,1.1492,1.2303,1.3114,1.3926,1.4737,1.5548
Normal,x4HitDMG,ATK,0.5771,0.624,0.671,0.7381,0.7851,0.8388,0.9126,0.9864,1.0602,1.1407,1.2212,1.3017,1.3823,1.4628,1.5433
Normal,x5HitDMG,ATK,0.7207,0.7793,0.838,0.9218,0.9805,1.0475,1.1397,1.2319,1.324,1.4246,1.5252,1.6257,1.7263,1.8268,1.9274
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,OzsATKDMG,ATK,0.888,0.9546,1.0212,1.11,1.1766,1.2432,1.332,1.4208,1.5096,1.5984,1.6872,1.776,1.887,1.998,2.109
Skill,SummoningDMG,ATK,1.1544,1.241,1.3276,1.443,1.5296,1.6162,1.7316,1.847,1.9625,2.0779,2.1934,2.3088,2.4531,2.5974,2.7417
Skill,OzsDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Burst,FallingThunderDMG,ATK,2.08,2.236,2.392,2.6,2.756,2.912,3.12,3.328,3.536,3.744,3.952,4.16,4.42,4.68,4.94
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
