Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.494,0.5342,0.5744,0.6318,0.672,0.718,0.7812,0.8444,0.9076,0.9765,1.0454,1.1143,1.1833,1.2522,1.3211
Normal,x2HitDMG,ATK,0.582,0.6294,0.6768,0.7444,0.7918,0.8459,0.9204,0.9948,1.0693,1.1505,1.2317,1.3129,1.3942,1.4753,1.5565
Normal,x3HitDMG,ATK,0.7043,0.7616,0.8189,0.9008,0.9581,1.0237,1.1137,1.2038,1.2939,1.3922,1.4904,1.5887,1.687,1.7852,1.8835
Normal,x4HitDMG,ATK,0.7744,0.8374,0.9004,0.9905,1.0535,1.1255,1.2246,1.3236,1.4227,1.5307,1.6388,1.7468,1.8549,1.9629,2.071
Normal,ChargedAttackDMG,ATK,1.1266,1.2183,1.31,1.441,1.5327,1.6375,1.7816,1.9257,2.0698,2.227,2.3842,2.5414,2.6986,2.8558,3.013
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,TurboTwirlyMountedDMG,DEF,0.8776,0.9434,1.0092,1.097,1.1628,1.2286,1.3164,1.4042,1.4919,1.5797,1.6674,1.7552,1.8649,1.9746,2.0843
Skill,TurboTwirlyIndependentDMG,DEF,0.6376,0.6854,0.7332,0.797,0.8448,0.8926,0.9564,1.0202,1.0839,1.1477,1.2114,1.2752,1.3549,1.4346,1.5143
Skill,NightsoulPointLimit,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Skill,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,SkillDMG,DEF,3.8057,4.1366,4.4252,4.81,5.0986,5.3872,5.772,6.1568,6.5416,6.9264,7.3112,7.696,8.177,8.658,9.139
Burst,FieldDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
