Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4102,0.4436,0.477,0.5247,0.5581,0.5962,0.6487,0.7012,0.7537,0.8109,0.8681,0.9254,0.9826,1.0399,1.0971
Normal,x2HitDMG,ATK,0.4102,0.4436,0.477,0.5247,0.5581,0.5962,0.6487,0.7012,0.7537,0.8109,0.8681,0.9254,0.9826,1.0399,1.0971
Normal,x3HitDMG,ATK,0.5444,0.5887,0.633,0.6963,0.7406,0.7912,0.8609,0.9305,1.0001,1.0761,1.1521,1.228,1.304,1.3799,1.4559
Normal,x4HitDMG,ATK,0.6588,0.7124,0.766,0.8426,0.8962,0.9575,1.0418,1.126,1.2103,1.3022,1.3941,1.486,1.578,1.6699,1.7618
Normal,x5HitDMG,ATK,0.6699,0.7245,0.779,0.8569,0.9114,0.9737,1.0594,1.1451,1.2308,1.3243,1.4178,1.5113,1.6047,1.6982,1.7917
Normal,ChargedAttackDMG,ATK,1.628,1.7605,1.893,2.0823,2.2148,2.3663,2.5745,2.7827,2.9909,3.2181,3.4453,3.6724,3.8996,4.1267,4.3539
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,LightningStilettoDMG,ATK,0.504,0.5418,0.5796,0.63,0.6678,0.7056,0.756,0.8064,0.8568,0.9072,0.9576,1.008,1.071,1.134,1.197
Skill,SlashingDMG,ATK,1.68,1.806,1.932,2.1,2.226,2.352,2.52,2.688,2.856,3.024,3.192,3.36,3.57,3.78,3.99
Skill,ThunderclapSlashDMG,ATK,0.86,0.923,0.986,1.07,1.133,1.196,1.28,1.364,1.448,1.532,1.616,1.7,1.805,1.91,2.015
Skill,CD,ATK,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Burst,SkillDMG,ATK,0.88,0.946,1.012,1.1,1.166,1.232,1.32,1.408,1.496,1.584,1.672,1.76,1.87,1.98,2.09
Burst,ConsecutiveSlashDMG,ATK,0.32,0.338,0.356,0.38,0.398,0.416,0.44,0.464,0.488,0.512,0.536,0.56,0.59,0.62,0.65
Burst,LastAttackDMG,ATK,1.888,2.0296,2.1712,2.36,2.5016,2.6432,2.832,3.0208,3.2096,3.3984,3.5872,3.776,4.012,4.248,4.484
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
