Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4876,0.5273,0.567,0.6237,0.6634,0.7088,0.7711,0.8335,0.8959,0.9639,1.0319,1.1,1.168,1.2361,1.3041
Normal,x2HitDMG,ATK,0.4455,0.4817,0.518,0.5698,0.6061,0.6475,0.7045,0.7615,0.8184,0.8806,0.9428,1.0049,1.0671,1.1292,1.1914
Normal,x3HitDMG,ATK,0.5934,0.6417,0.69,0.759,0.8073,0.8625,0.9384,1.0143,1.0902,1.173,1.2558,1.3386,1.4214,1.5042,1.587
Normal,x4HitDMG,ATK,0.7611,0.8231,0.885,0.9735,1.0354,1.1063,1.2036,1.301,1.3983,1.5045,1.6107,1.7169,1.8231,1.9293,2.0355
Normal,ChargedAttackDMG,ATK,1.224,1.3236,1.4232,1.5656,1.6652,1.779,1.9356,2.0921,2.2487,2.4195,2.5903,2.7611,2.9319,3.1026,3.2735
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,0.7571,0.8139,0.8707,0.9464,1.0032,1.06,1.1357,1.2114,1.2871,1.3628,1.4385,1.5142,1.6089,1.7035,1.7982
Skill,GrassRingOfSanctificationHealing,HP,2.92,3.2122,3.5245,3.8675,4.2297,4.612,5.025,5.468,5.921,6.414,6.917,7.45,8.0137,8.5875,9.2012
Skill,GrassRingOfSanctificationDMG,ATK,0.2524,0.2713,0.2903,0.3155,0.3344,0.3534,0.3786,0.4038,0.4291,0.4543,0.4796,0.5048,0.5364,0.5679,0.5994
Skill,ActivationCost,HP,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Skill,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SingleInstanceDMG,HP,0.036,0.0388,0.0415,0.0451,0.0478,0.0505,0.0541,0.0577,0.0613,0.0649,0.0685,0.0721,0.0766,0.0811,0.0856
Burst,TotalDMG,HP,0.6849,0.7363,0.7877,0.8561,0.9075,0.9589,1.0274,1.0958,1.1644,1.2328,1.3013,1.3699,1.4554,1.5411,1.6267
Burst,Duration,ATK,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
