Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4144,0.4455,0.4766,0.518,0.5491,0.5802,0.6216,0.663,0.7045,0.7459,0.7874,0.8288,0.8806,0.9324,0.9842
Normal,x2HitDMG,ATK,0.4536,0.4876,0.5216,0.567,0.6011,0.6351,0.6804,0.7258,0.7711,0.8165,0.8618,0.9072,0.9639,1.0206,1.0773
Normal,x3HitDMG,ATK,0.5384,0.5788,0.6192,0.673,0.7134,0.7538,0.8076,0.8614,0.9152,0.9692,1.023,1.0768,1.144,1.2114,1.2786
Normal,x4HitDMG,ATK,0.6456,0.694,0.7424,0.807,0.8554,0.9038,0.9684,1.033,1.0975,1.1621,1.2266,1.2912,1.3719,1.4526,1.5333
Normal,ChargedAttackDMG,ATK,0.4084,0.4368,0.4652,0.503,0.5314,0.5598,0.5976,0.6354,0.6733,0.7111,0.749,0.7868,0.8341,0.8814,0.9287
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,FeathermoonRingDMG,ATK,0.9626,1.0348,1.1069,1.2032,1.2754,1.3476,1.4438,1.5401,1.6364,1.7326,1.8289,1.9251,2.0454,2.1658,2.2861
Skill,ShieldDMGAbsorption,ATK,14.3248,15.6822,17.1395,18.766,20.4234,22.1707,24.0772,26.0937,28.2002,30.3966,32.7031,35.0996,37.6552,40.3108,43.0664
Skill,ShieldDuration,ATK,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Skill,CD,ATK,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Burst,SkillDMG,ATK,2.4406,2.6214,2.8022,3.0433,3.2241,3.4049,3.646,3.887,4.1281,4.3692,4.6102,4.8513,5.1526,5.4539,5.7553
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
