Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5399,0.5839,0.6278,0.6906,0.7345,0.7848,0.8538,0.9229,0.9919,1.0673,1.1426,1.218,1.2933,1.3686,1.444
Normal,x2HitDMG,ATK,0.5644,0.6104,0.6563,0.7219,0.7679,0.8204,0.8926,0.9648,1.037,1.1157,1.1945,1.2732,1.352,1.4308,1.5095
Normal,x3HitDMG,ATK,0.2842,0.3049,0.3256,0.3551,0.3758,0.3995,0.432,0.4645,0.497,0.5325,0.568,0.6034,0.6389,0.6744,0.7098
Normal,x4HitDMG,ATK,0.7523,0.8135,0.8747,0.9622,1.0234,1.0934,1.1896,1.2858,1.3821,1.487,1.592,1.697,1.8019,1.9069,2.0119
Normal,x5HitDMG,ATK,0.9215,0.9965,1.0715,1.1786,1.2536,1.3393,1.4572,1.575,1.6929,1.8215,1.95,2.0786,2.2072,2.3358,2.4643
Normal,ChargedAttackDMG,ATK,0.6788,0.7324,0.786,0.8626,0.9162,0.9775,1.0618,1.146,1.2303,1.3222,1.4141,1.506,1.598,1.6899,1.7818
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,x1HitDMG,ATK,0.8099,0.8758,0.9417,1.0359,1.1018,1.1771,1.2807,1.3843,1.4879,1.6009,1.7139,1.8269,1.9399,2.0529,2.1659
Skill,x2HitDMG,ATK,0.8466,0.9156,0.9845,1.0829,1.1518,1.2306,1.3389,1.4472,1.5555,1.6736,1.7917,1.9099,2.028,2.1461,2.2643
Skill,x3HitDMG,ATK,0.4113,0.4423,0.4734,0.5177,0.5487,0.5842,0.633,0.6818,0.7305,0.7837,0.8369,0.8901,0.9433,0.9965,1.0498
Skill,x4HitDMG,ATK,1.1284,1.2202,1.3121,1.4433,1.5351,1.6401,1.7844,1.9288,2.0731,2.2305,2.388,2.5454,2.7029,2.8603,3.0178
Skill,x5HitDMG,ATK,1.3822,1.4947,1.6072,1.7679,1.8804,2.009,2.1858,2.3625,2.5393,2.7322,2.925,3.118,3.3108,3.5037,3.6965
Skill,ChargedAttackDMG,ATK,1.0081,1.0886,1.169,1.2839,1.3643,1.4562,1.5826,1.709,1.8354,1.9733,2.1112,2.2491,2.3869,2.5248,2.6627
Skill,ChargedAttackStaminaCost,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Skill,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,Masterstroke,ATK,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Skill,EtchedIntoBoneAndSoulDMG,ATK,0.64,0.685,0.73,0.79,0.835,0.88,0.94,1,1.06,1.12,1.18,1.24,1.315,1.39,1.465
Skill,DMGIncreaseFromWillToWin,ATK,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Skill,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,SkillDMG,ATK,1.248,1.3371,1.4262,1.545,1.6341,1.7232,1.842,1.9608,2.0796,2.1984,2.3172,2.436,2.5845,2.733,2.8815
Burst,DMGIncreaseFromWillToWin,ATK,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
