Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4308,0.4659,0.5009,0.551,0.5861,0.6262,0.6813,0.7364,0.7915,0.8516,0.9117,0.9718,1.032,1.0921,1.1522
Normal,x2HitDMG,ATK,0.3761,0.4067,0.4374,0.4811,0.5117,0.5467,0.5948,0.6429,0.691,0.7435,0.796,0.8485,0.9009,0.9534,1.0059
Normal,x3HitDMG,ATK,0.4945,0.5348,0.5751,0.6326,0.6729,0.7188,0.7821,0.8454,0.9086,0.9776,1.0467,1.1157,1.1846,1.2537,1.3227
Normal,x4HitDMG,ATK,0.6315,0.6829,0.7344,0.8078,0.8592,0.9179,0.9987,1.0795,1.1603,1.2484,1.3365,1.4246,1.5128,1.6009,1.689
Normal,ChargedAttackDMG,ATK,1.056,1.142,1.228,1.3508,1.4368,1.535,1.67,1.8052,1.9402,2.0876,2.235,2.3824,2.5296,2.677,2.8244
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,EnigmaThrustDMG,ATK,2.68,2.881,3.082,3.35,3.551,3.752,4.02,4.288,4.556,4.824,5.092,5.36,5.695,6.03,6.365
Skill,SurgingBladeDMG,ATK,0.312,0.3354,0.3588,0.39,0.4134,0.4368,0.468,0.4992,0.5304,0.5616,0.5928,0.624,0.663,0.702,0.741
Skill,SurgingBladeInterval,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,HPRegeneration,HP,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Skill,HPCost,HP,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Skill,HoldMaxDuration,ATK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,SkillDMG,ATK,0.832,0.8944,0.9568,1.04,1.1024,1.1648,1.248,1.3312,1.4144,1.4976,1.5808,1.664,1.768,1.872,1.976
Burst,BogglecatBoxDMG,ATK,0.512,0.5504,0.5888,0.64,0.6784,0.7168,0.768,0.8192,0.8704,0.9216,0.9728,1.024,1.088,1.152,1.216
Burst,VividShotDMG,ATK,0.456,0.4902,0.5244,0.57,0.6042,0.6384,0.684,0.7296,0.7752,0.8208,0.8664,0.912,0.969,1.026,1.083
Burst,BogglecatBoxDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
