Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4326,0.4678,0.5031,0.5534,0.5886,0.6288,0.6842,0.7395,0.7948,0.8552,0.9156,0.9759,1.0363,1.0967,1.157
Normal,x2HitDMG,ATK,0.415,0.4488,0.4826,0.5308,0.5646,0.6032,0.6563,0.7094,0.7625,0.8204,0.8783,0.9362,0.9941,1.052,1.1099
Normal,x3HitDMG,ATK,0.545,0.5894,0.6338,0.6971,0.7415,0.7922,0.8619,0.9316,1.0013,1.0774,1.1534,1.2295,1.3055,1.3816,1.4576
Normal,x4HitDMG,ATK,0.5522,0.5972,0.6422,0.7064,0.7514,0.8028,0.8734,0.944,1.0146,1.0918,1.1688,1.2458,1.323,1.4,1.477
Normal,x5HitDMG,ATK,0.7087,0.7664,0.8241,0.9065,0.9642,1.0302,1.1208,1.2115,1.3021,1.401,1.4999,1.5988,1.6977,1.7966,1.8955
Normal,ChargedAttackDMG,ATK,1.1275,1.2192,1.311,1.4421,1.5339,1.6387,1.783,1.9272,2.0714,2.2287,2.386,2.5433,2.7007,2.858,3.0153
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,FlowfrostArrowDMG,ATK,0.672,0.7224,0.7728,0.84,0.8904,0.9408,1.008,1.0752,1.1424,1.2096,1.2768,1.344,1.428,1.512,1.596
Skill,RimestarFlareDMG,ATK,0.84,0.903,0.966,1.05,1.113,1.176,1.26,1.344,1.428,1.512,1.596,1.68,1.785,1.89,1.995
Skill,RimestarShardDMG,ATK,0.252,0.2709,0.2898,0.315,0.3339,0.3528,0.378,0.4032,0.4284,0.4536,0.4788,0.504,0.5355,0.567,0.5985
Skill,ATKSPDBonus,ATK,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.25,0.25
Skill,SoulwindDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CastHealing,HP,11.8417,13.0208,14.2999,15.6821,17.1612,18.7304,20.4025,22.1747,24.0369,26.009,28.0712,30.2334,32.4886,34.8538,37.309
Burst,EagleplumeHealing,HP,2.3643,2.5961,2.858,3.1304,3.4222,3.734,4.0765,4.4289,4.8013,5.1938,5.6062,6.0386,6.4817,6.9547,7.4478
Burst,EagleplumeHealingInterval,ATK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Burst,EagleplumeDuration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
