Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5228,0.562,0.6012,0.6535,0.6927,0.7319,0.7842,0.8364,0.8887,0.941,0.9933,1.0455,1.1109,1.1762,1.2416
Normal,x2HitDMG,ATK,0.4691,0.5043,0.5395,0.5864,0.6216,0.6568,0.7037,0.7506,0.7975,0.8445,0.8914,0.9383,0.9969,1.0556,1.1142
Normal,x3HitDMG,ATK,0.7137,0.7672,0.8207,0.8921,0.9456,0.9992,1.0705,1.1419,1.2133,1.2846,1.356,1.4274,1.5166,1.6058,1.695
Normal,ChargedAttackDMG,ATK,1.3,1.3975,1.495,1.625,1.7225,1.82,1.95,2.08,2.21,2.34,2.47,2.6,2.7625,2.925,3.0875
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,0.5774,0.6207,0.6641,0.7218,0.7651,0.8084,0.8662,0.9239,0.9816,1.0394,1.0971,1.1549,1.2271,1.2992,1.3714
Skill,ContinuousAttackDMG,ATK,0.4491,0.4828,0.5165,0.5614,0.5951,0.6288,0.6737,0.7186,0.7635,0.8084,0.8533,0.8982,0.9544,1.0105,1.0667
Skill,DreamdrifterDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skill,ElementalMasteryBasedSwirlDMGIncrease,ATK,0.0018,0.0021,0.0024,0.0027,0.003,0.0033,0.0036,0.0039,0.0042,0.0045,0.0048,0.0051,0.0054,0.0057,0.006
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,0.9408,1.0114,1.0819,1.176,1.2466,1.3171,1.4112,1.5053,1.5994,1.6934,1.7875,1.8816,1.9992,2.1168,2.2344
Burst,MunenShockwaveDMG,ATK,0.7056,0.7585,0.8114,0.882,0.9349,0.9878,1.0584,1.129,1.1995,1.2701,1.3406,1.4112,1.4994,1.5876,1.6758
Burst,SnackPickUpHPRegeneration,EM,4.4556,4.8635,5.3014,5.802,6.2899,6.8078,7.3884,7.989,8.6195,9.2701,9.9506,10.6612,11.4244,12.2176,13.0408
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
