Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.376,0.4042,0.4324,0.47,0.4982,0.5264,0.564,0.6016,0.6392,0.6768,0.7144,0.752,0.799,0.846,0.893
Normal,x2HitDMG,ATK,0.36,0.387,0.414,0.45,0.477,0.504,0.54,0.576,0.612,0.648,0.684,0.72,0.765,0.81,0.855
Normal,x3HitDMG,ATK,0.448,0.4816,0.5152,0.56,0.5936,0.6272,0.672,0.7168,0.7616,0.8064,0.8512,0.896,0.952,1.008,1.064
Normal,x4HitDMG,ATK,0.5616,0.6037,0.6458,0.702,0.7441,0.7862,0.8424,0.8986,0.9547,1.0109,1.067,1.1232,1.1934,1.2636,1.3338
Normal,ChargedAttackDMG,ATK,1.4972,1.6095,1.7218,1.8715,1.9838,2.0961,2.2458,2.3955,2.5452,2.695,2.8507,3.0543,3.2579,3.4615,3.6651
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,DoT,ATK,0.32,0.344,0.368,0.4,0.424,0.448,0.48,0.512,0.544,0.576,0.608,0.64,0.68,0.72,0.76
Skill,ExplosionDMG,ATK,1.328,1.4276,1.5272,1.66,1.7596,1.8592,1.992,2.1248,2.2576,2.3904,2.5232,2.656,2.822,2.988,3.154
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,IllusoryBubbleDuration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,IllusoryBubbleExplosionDMG,ATK,4.424,4.7558,5.0876,5.53,5.8618,6.1936,6.636,7.0784,7.5208,7.9632,8.4056,8.848,9.401,9.954,10.507
Burst,DMGBonus,ATK,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.6,0.6,0.6,0.6,0.6
Burst,OmenDuration,ATK,4,4,4,4.5,4.5,4.5,5,5,5,5,5,5,5,5,5
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
