Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.403,0.4333,0.4635,0.5038,0.534,0.5643,0.6046,0.6449,0.6852,0.7255,0.7658,0.8061,0.8565,0.9069,0.9572
Normal,x2HitDMG,ATK,0.3697,0.3975,0.4252,0.4622,0.4899,0.5176,0.5546,0.5916,0.6286,0.6655,0.7025,0.7395,0.7857,0.8319,0.8781
Normal,x3HitDMG,ATK,0.4587,0.4931,0.5276,0.5734,0.6078,0.6422,0.6881,0.734,0.7799,0.8257,0.8716,0.9175,0.9748,1.0322,1.0895
Normal,x4HitDMG,ATK,0.5841,0.6279,0.6717,0.7301,0.7739,0.8177,0.8761,0.9345,0.9929,1.0513,1.1097,1.1681,1.2411,1.3141,1.3872
Normal,ChargedAttackDMG,ATK,1.32,1.419,1.518,1.65,1.749,1.848,1.98,2.112,2.244,2.376,2.508,2.64,2.805,2.97,3.135
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,PressDMG,ATK,0.984,1.0578,1.1316,1.23,1.3038,1.3776,1.476,1.5744,1.6728,1.7712,1.8696,1.968,2.091,2.214,2.337
Skill,HoldDMG,ATK,1.304,1.4018,1.4996,1.63,1.7278,1.8256,1.956,2.0864,2.2168,2.3472,2.4776,2.608,2.771,2.934,3.097
Skill,TriKarmaPurificationDMG,EM,3.096,3.3282,3.5604,3.87,4.1022,4.3344,4.644,4.9536,5.2632,5.5728,5.8824,6.192,6.579,6.966,7.353
Skill,TriKarmaPurificationTriggerInterval,ATK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Skill,SeedOfSkandhaDuration,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Skill,PressCD,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skill,HoldCD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,PyroDMGBonus,ATK,0.2432,0.2599,0.2767,0.299,0.3157,0.3325,0.3548,0.3771,0.3994,0.4218,0.4441,0.4664,0.4943,0.5222,0.5501
Burst,ElectroTriggerIntervalDecrease,ATK,2.37,2.4,2.43,2.47,2.49,2.52,2.56,2.6,2.63,2.67,2.71,2.74,2.79,2.84,2.88
Burst,HydroDurationExtension,ATK,7.02,7.39,7.77,8.27,8.65,9.02,9.52,10.03,10.53,11.03,11.53,12.03,12.66,13.29,13.91
Burst,BaseDuration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Burst,EnergyCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
