Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.9352,1.0113,1.0874,1.1962,1.2723,1.3593,1.4789,1.5985,1.7181,1.8486,1.9791,2.1096,2.2401,2.3706,2.5011
Normal,x2HitDMG,ATK,0.8651,0.9355,1.0059,1.1065,1.1769,1.2574,1.368,1.4787,1.5893,1.71,1.8307,1.9514,2.0721,2.1928,2.3135
Normal,x3HitDMG,ATK,0.3789,0.4073,0.4356,0.4762,0.5046,0.5371,0.5817,0.6263,0.6709,0.7196,0.7683,0.817,0.8656,0.9143,0.963
Normal,x4HitDMG,ATK,1.3343,1.4429,1.5515,1.7067,1.8153,1.9394,2.1101,2.2807,2.4514,2.6376,2.8238,3.01,3.1962,3.3823,3.5685
Normal,ChargedAttackCyclicDMG,ATK,0.6252,0.6761,0.727,0.7997,0.8506,0.9087,0.9887,1.0687,1.1487,1.2359,1.3231,1.4104,1.4976,1.5849,1.6721
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.3933,2.5511,2.7089,2.8667,3.0245
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,RosulaShardshotBaseDMG,ATK,3.948,4.2441,4.5402,4.935,5.2311,5.5272,5.922,6.3168,6.7116,7.1064,7.5012,7.896,8.3895,8.883,9.3765
Skill,CrystalShrapnelDuration,ATK,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Skill,SurgingBladeDMG,ATK,0.36,0.387,0.414,0.45,0.477,0.504,0.54,0.576,0.612,0.648,0.684,0.72,0.765,0.81,0.855
Skill,SurgingBladeInterval,ATK,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Skill,CD,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,SkillDMG,ATK,0.752,0.8084,0.8648,0.94,0.9964,1.0528,1.128,1.2032,1.2784,1.3536,1.4288,1.504,1.598,1.692,1.786
Burst,CannonFireSupportDMG,ATK,0.4315,0.4639,0.4962,0.5394,0.5717,0.6041,0.6472,0.6904,0.7336,0.7767,0.8199,0.863,0.9169,0.9709,1.0248
Burst,CannonFireSupportDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
