Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,NormalAttackDMG,ATK,0.28,0.301,0.322,0.35,0.371,0.392,0.42,0.448,0.476,0.504,0.5331,0.5712,0.6093,0.6474,0.6854
Normal,ChargedAttackDMG,ATK,1.7408,1.8714,2.0019,2.176,2.3066,2.4371,2.6112,2.7853,2.9594,3.1334,3.3145,3.5512,3.788,4.0247,4.2615
Normal,DMGPerStarJade,ATK,0.496,0.5332,0.5704,0.62,0.6572,0.6944,0.744,0.7936,0.8432,0.8928,0.9444,1.0118,1.0793,1.1468,1.2142
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,InheritedHP,HP,0.501,0.531,0.561,0.6,0.63,0.66,0.699,0.738,0.777,0.816,0.855,0.894,0.933,0.972,1.011
Skill,SkillDMG,ATK,2.304,2.4768,2.6496,2.88,3.0528,3.2256,3.456,3.6864,3.9168,4.1472,4.3776,4.608,4.896,5.184,5.472
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,DMGPerGem,ATK,0.8696,0.9348,1,1.087,1.1522,1.2174,1.3044,1.3914,1.4783,1.5653,1.6522,1.7392,1.8479,1.9566,2.0653
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
