Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.7912,0.8556,0.92,1.012,1.0764,1.15,1.2512,1.3524,1.4536,1.564,1.6744,1.7848,1.8952,2.0056,2.116
Normal,x2HitDMG,ATK,0.7336,0.7933,0.853,0.9383,0.998,1.0662,1.1601,1.2539,1.3477,1.4501,1.5525,1.6548,1.7572,1.8595,1.9619
Normal,x3HitDMG,ATK,0.8626,0.9328,1.003,1.1033,1.1735,1.2537,1.3641,1.4744,1.5847,1.7051,1.8255,1.9458,2.0662,2.1865,2.3069
Normal,x4HitDMG,ATK,1.1343,1.2267,1.319,1.4509,1.5432,1.6487,1.7938,1.9389,2.084,2.2423,2.4006,2.5589,2.7171,2.8754,3.0337
Normal,ChargedAttackCyclicDMG,ATK,0.5074,0.5487,0.59,0.649,0.6903,0.7375,0.8024,0.8673,0.9322,1.003,1.0738,1.1446,1.2154,1.2862,1.357
Normal,ChargedAttackFinalDMG,ATK,0.9047,0.9784,1.052,1.1572,1.2308,1.315,1.4307,1.5464,1.6622,1.7884,1.9146,2.0409,2.1671,2.2934,2.4196
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,SkillDMG,DEF,1.2,1.29,1.38,1.5,1.59,1.68,1.8,1.92,2.04,2.16,2.28,2.4,2.55,2.7,2.85
Skill,DMGAbsorption,DEF,9.3,10.19,11.14,12.2,13.28,14.43,15.68,16.99,18.37,19.82,21.32,22.9,24.57,26.31,28.11
Skill,Healing,DEF,1.2428,1.3588,1.4847,1.626,1.772,1.9279,2.0892,2.2705,2.4518,2.643,2.8443,3.0556,3.2722,3.5088,3.7454
Skill,HealingTriggeringChance,ATK,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.59,0.6,0.6,0.6,0.6
Skill,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Burst,BurstDMG,ATK,0.672,0.7224,0.7728,0.84,0.8904,0.9408,1.008,1.0752,1.1424,1.2096,1.2768,1.344,1.428,1.512,1.596
Burst,SkillDMG,ATK,0.928,0.9976,1.0672,1.16,1.2296,1.2992,1.392,1.4848,1.5776,1.6704,1.7632,1.856,1.972,2.088,2.204
Burst,ATKBonus,DEF,0.4,0.43,0.46,0.5,0.53,0.56,0.6,0.64,0.68,0.72,0.76,0.8,0.85,0.9,0.95
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
