Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4862,0.5227,0.5591,0.6078,0.6442,0.6807,0.7293,0.7779,0.8266,0.8752,0.9238,0.9724,1.0332,1.094,1.1547
Normal,x2HitDMG,ATK,0.4828,0.519,0.5552,0.6035,0.6397,0.6759,0.7242,0.7725,0.8208,0.8691,0.9173,0.9656,1.026,1.0863,1.1467
Normal,x3HitDMG,ATK,0.6798,0.7308,0.7817,0.8497,0.9007,0.9517,1.0197,1.0876,1.1556,1.2236,1.2916,1.3595,1.4445,1.5295,1.6144
Normal,ChargedAttackDMG,ATK,1.3352,1.4353,1.5355,1.669,1.7691,1.8693,2.0028,2.1363,2.2698,2.4034,2.5369,2.6704,2.8373,3.0042,3.1711
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,RingADingDingHexhunterChimeDMG,ATK,1.6744,1.8,1.9256,2.093,2.2186,2.3442,2.5116,2.679,2.8465,3.0139,3.1814,3.3488,3.5581,3.7674,3.9767
Skill,ClangClangWitchtributionComesDMG,ATK,2.0456,2.199,2.3524,2.557,2.7104,2.8638,3.0684,3.273,3.4775,3.6821,3.8866,4.0912,4.3469,4.6026,4.8583
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,0.9696,1.0423,1.115,1.212,1.2847,1.3574,1.4544,1.5514,1.6483,1.7453,1.8422,1.9392,2.0604,2.1816,2.3028
Burst,WitchlureBellDMG,ATK,0.7044,0.7572,0.8101,0.8805,0.9333,0.9862,1.0566,1.127,1.1975,1.2679,1.3384,1.4088,1.4969,1.5849,1.673
Burst,HunterSeekerModeDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
