Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3965,0.4287,0.461,0.5071,0.5394,0.5763,0.627,0.6777,0.7284,0.7837,0.8471,0.9216,0.9962,1.0707,1.152
Normal,x2HitDMG,ATK,0.3973,0.4297,0.462,0.5082,0.5405,0.5775,0.6283,0.6791,0.73,0.7854,0.8489,0.9236,0.9983,1.073,1.1545
Normal,x3HitDMG,ATK,0.4988,0.5394,0.58,0.638,0.6786,0.725,0.7888,0.8526,0.9164,0.986,1.0658,1.1595,1.2533,1.3471,1.4494
Normal,x4HitDMG,ATK,0.5796,0.6268,0.674,0.7414,0.7886,0.8424,0.9166,0.9908,1.065,1.1458,1.2384,1.3474,1.4564,1.5654,1.6844
Normal,x5HitDMG,ATK,0.6545,0.7077,0.761,0.8371,0.8904,0.9513,1.035,1.1187,1.2024,1.2937,1.3983,1.5214,1.6444,1.7675,1.9017
Normal,ChargedAttackDMG,ATK,0.9959,1.0769,1.158,1.2738,1.3549,1.4475,1.5749,1.7023,1.8296,1.9686,2.1278,2.3151,2.5023,2.6896,2.8938
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,1.172,1.2599,1.3478,1.465,1.5529,1.6408,1.758,1.8752,1.9924,2.1096,2.2268,2.344,2.4905,2.637,2.7835
Skill,CoordinatedATKDMG,ATK,0.42,0.4515,0.483,0.525,0.5565,0.588,0.63,0.672,0.714,0.756,0.798,0.84,0.8925,0.945,0.9975
Skill,Duration,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Skill,ElementalBurstDMGBonus,ATK,0.0022,0.0023,0.0024,0.0025,0.0026,0.0027,0.0028,0.0029,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,MusouNoHitotachiBaseDMG,ATK,4.008,4.3086,4.6092,5.01,5.3106,5.6112,6.012,6.4128,6.8136,7.2144,7.6152,8.016,8.517,9.018,9.519
Burst,ResolveBonus,ATK,0.0462,0.0496,0.0531,0.0577,0.0611,0.0646,0.0692,0.0738,0.0784,0.0831,0.0877,0.0923,0.098,0.1038,0.1095
Burst,ResolveStacksGained,ATK,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2
Burst,x1HitDMG,ATK,0.4474,0.4779,0.5084,0.549,0.5796,0.6151,0.6609,0.7066,0.7524,0.7982,0.8439,0.8897,0.9354,0.9812,1.0269
Burst,x2HitDMG,ATK,0.4396,0.4695,0.4995,0.5395,0.5694,0.6044,0.6493,0.6943,0.7393,0.7842,0.8292,0.8741,0.9191,0.964,1.009
Burst,x3HitDMG,ATK,0.5382,0.5749,0.6116,0.6605,0.6972,0.74,0.7951,0.8501,0.9052,0.9602,1.0153,1.0703,1.1254,1.1804,1.2355
Burst,x4HitDMG,ATK,0.6187,0.6608,0.703,0.7593,0.8014,0.8506,0.9139,0.9772,1.0405,1.1037,1.167,1.2303,1.2935,1.3568,1.42
Burst,x5HitDMG,ATK,0.7394,0.7899,0.8403,0.9075,0.9579,1.0167,1.0924,1.168,1.2436,1.3192,1.3948,1.4705,1.5461,1.6217,1.6973
Burst,ChargedAttackDMG,ATK,1.3596,1.4523,1.545,1.6686,1.7613,1.8694,2.0085,2.1476,2.2866,2.4257,2.5647,2.7037,2.8428,2.9818,3.1209
Burst,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Burst,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Burst,MusouIsshinEnergyRestoration,ATK,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.5
Burst,MusouIsshinDuration,ATK,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
