Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.6838,0.735,0.7863,0.8547,0.906,0.9573,1.0256,1.094,1.1624,1.2308,1.2991,1.3675,1.453,1.5385,1.6239
Normal,x2HitDMG,ATK,0.6154,0.6615,0.7077,0.7692,0.8154,0.8615,0.9231,0.9846,1.0462,1.1077,1.1692,1.2308,1.3077,1.3846,1.4615
Normal,x3HitDMG,ATK,0.9431,1.0138,1.0845,1.1788,1.2495,1.3203,1.4146,1.5089,1.6032,1.6975,1.7918,1.8861,2.004,2.1219,2.2398
Normal,ChargedAttackDMG,ATK,1.4832,1.5944,1.7057,1.854,1.9652,2.0765,2.2248,2.3731,2.5214,2.6698,2.8181,2.9664,3.1518,3.3372,3.5226
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,Regeneration,HP,4.284,4.7073,5.1706,5.665,6.1983,6.7716,7.376,8.0204,8.6948,9.3992,10.1436,10.928,11.7435,12.599,13.4845
Skill,RippleDMG,ATK,1.0919,1.1738,1.2557,1.3649,1.4468,1.5287,1.6379,1.747,1.8562,1.9654,2.0746,2.1838,2.3203,2.4568,2.5933
Skill,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,SkillDMG,HP,0.1042,0.112,0.1198,0.1302,0.138,0.1458,0.1562,0.1667,0.1771,0.1875,0.1979,0.2083,0.2213,0.2344,0.2474
Burst,NormalAttackDMGBonus,HP,0.0484,0.052,0.0557,0.0605,0.0641,0.0678,0.0726,0.0774,0.0823,0.0871,0.092,0.0968,0.1028,0.1089,0.115
Burst,ChargedAttackDMGBonus,HP,0.0678,0.0728,0.0779,0.0847,0.0898,0.0949,0.1016,0.1084,0.1152,0.122,0.1287,0.1355,0.144,0.1525,0.1609
Burst,BakeKurageDMGBonus,HP,0.071,0.0763,0.0816,0.0887,0.094,0.0993,0.1064,0.1135,0.1206,0.1277,0.1348,0.1419,0.1508,0.1597,0.1685
Burst,HPRegenerationPerHit,HP,0.7781,0.8587,0.9393,1.0301,1.1307,1.2313,1.3421,1.4529,1.5837,1.7045,1.8454,1.9862,2.1372,2.2882,2.4492
Burst,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
