Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.7224,0.7812,0.84,0.924,0.9828,1.05,1.1424,1.2348,1.3272,1.428,1.5435,1.6793,1.8152,1.951,2.0992
Normal,x2HitDMG,ATK,0.7138,0.7719,0.83,0.913,0.9711,1.0375,1.1288,1.2201,1.3114,1.411,1.5251,1.6593,1.7935,1.9278,2.0742
Normal,x3HitDMG,ATK,0.8686,0.9394,1.01,1.111,1.1816,1.2626,1.3736,1.4846,1.5958,1.717,1.8558,2.0192,2.1826,2.3458,2.524
Normal,x4HitDMG,ATK,0.9813,1.0611,1.141,1.2551,1.335,1.4262,1.5518,1.6773,1.8028,1.9397,2.0966,2.2811,2.4656,2.6501,2.8514
Normal,ChargedAttackSpinningDMG,ATK,0.6255,0.6764,0.7273,0.8,0.8509,0.9091,0.9891,1.0691,1.1491,1.2364,1.3364,1.454,1.5716,1.6892,1.8175
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.4163,2.6289,2.8416,3.0542,3.2862
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,FuufuuWindwheelDMG,ATK,0.36,0.387,0.414,0.45,0.477,0.504,0.54,0.576,0.612,0.648,0.684,0.72,0.765,0.81,0.855
Skill,xFuufuuWhirlwindKickPressDMG,ATK,1.584,1.7028,1.8216,1.98,2.0988,2.2176,2.376,2.5344,2.6928,2.8512,3.0096,3.168,3.366,3.564,3.762
Skill,FuufuuWhirlwindKickHoldDMG,ATK,2.176,2.3392,2.5024,2.72,2.8832,3.0464,3.264,3.4816,3.6992,3.9168,4.1344,4.352,4.624,4.896,5.168
Skill,FuufuuWindwheelElementalDMG,ATK,0.168,0.1806,0.1932,0.21,0.2226,0.2352,0.252,0.2688,0.2856,0.3024,0.3192,0.336,0.357,0.378,0.399
Skill,FuufuuWhirlwindKickElementalDMG,ATK,0.7616,0.8187,0.8758,0.952,1.0091,1.0662,1.1424,1.2186,1.2947,1.3709,1.447,1.5232,1.6184,1.7136,1.8088
Skill,MaxDurationHold,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Burst,SkillActivationDMG,ATK,1.168,1.2556,1.3432,1.46,1.5476,1.6352,1.752,1.8688,1.9856,2.1024,2.2192,2.336,2.482,2.628,2.774
Burst,SkillActivationHealing,ATK,6.6916,7.3407,8.0398,8.802,9.5911,10.4302,11.3424,12.3046,13.3067,14.3589,15.461,16.6132,17.8384,19.1036,20.4288
Burst,MujiMujiDarumaDMG,ATK,0.52,0.559,0.598,0.65,0.689,0.728,0.78,0.832,0.884,0.936,0.988,1.04,1.105,1.17,1.235
Burst,MujiMujiDarumaHealing,ATK,5.7987,6.3586,6.9685,7.6284,8.3183,9.0382,9.8281,10.658,11.5278,12.4477,13.3976,14.3974,15.4573,16.5571,17.697
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
