Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3747,0.4028,0.4309,0.4684,0.4965,0.5246,0.5621,0.5996,0.6371,0.6745,0.712,0.7495,0.7963,0.8432,0.89
Normal,x2HitDMG,ATK,0.3685,0.3962,0.4238,0.4606,0.4883,0.5159,0.5528,0.5896,0.6265,0.6633,0.7002,0.737,0.7831,0.8292,0.8752
Normal,x3HitDMG,ATK,0.5106,0.5489,0.5872,0.6382,0.6765,0.7148,0.7659,0.817,0.868,0.9191,0.9701,1.0212,1.085,1.1488,1.2127
Normal,x4HitDMG,ATK,0.5026,0.5403,0.578,0.6283,0.666,0.7037,0.7539,0.8042,0.8544,0.9047,0.955,1.0052,1.068,1.1309,1.1937
Normal,x5HitDMG,ATK,0.6145,0.6606,0.7067,0.7681,0.8142,0.8603,0.9217,0.9832,1.0446,1.1061,1.1675,1.229,1.3058,1.3826,1.4594
Normal,ChargedAttack,ATK,0.73,0.7847,0.8395,0.9125,0.9672,1.022,1.095,1.168,1.241,1.314,1.387,1.46,1.5512,1.6425,1.7337
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,2.2752,2.4458,2.6165,2.844,3.0146,3.1853,3.4128,3.6403,3.8678,4.0954,4.3229,4.5504,4.8348,5.1192,5.4036
Skill,DeclensionDMGBonus,ATK,0.5688,0.6115,0.6541,0.711,0.7537,0.7963,0.8532,0.9101,0.967,1.0238,1.0807,1.1376,1.2087,1.2798,1.3509
Skill,ConvictionDMGBonus,ATK,1.1376,1.2229,1.3082,1.422,1.5073,1.5926,1.7064,1.8202,1.9339,2.0477,2.1614,2.2752,2.4174,2.5596,2.7018
Skill,DeclensionDuration,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,FudouStyleVacuumSluggerDMG,ATK,3.1469,3.3829,3.6189,3.9336,4.1696,4.4056,4.7203,5.035,5.3497,5.6644,5.9791,6.2938,6.6871,7.0805,7.4738
Burst,WindmusterIrisDMG,ATK,0.2146,0.2307,0.2467,0.2682,0.2843,0.3004,0.3218,0.3433,0.3648,0.3862,0.4077,0.4291,0.4559,0.4828,0.5096
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
