Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5261,0.569,0.6118,0.673,0.7158,0.7647,0.832,0.8993,0.9666,1.04,1.1135,1.1869,1.2603,1.3337,1.4071
Normal,x2HitDMG,ATK,0.5107,0.5523,0.5939,0.6532,0.6948,0.7423,0.8076,0.873,0.9383,1.0095,1.0808,1.1521,1.2233,1.2946,1.3659
Normal,x3HitDMG,ATK,0.7829,0.8466,0.9104,1.0014,1.0651,1.1379,1.2381,1.3382,1.4384,1.5476,1.6569,1.7661,1.8753,1.9846,2.0938
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,MiniStrationBubbleDMG,ATK,0.248,0.2666,0.2852,0.31,0.3286,0.3472,0.372,0.3968,0.4216,0.4464,0.4712,0.496,0.527,0.558,0.589
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,BolsteringBubblebalmDMG,HP,0.0228,0.0245,0.0262,0.0285,0.0302,0.0319,0.0342,0.0365,0.0388,0.041,0.0433,0.0456,0.0485,0.0513,0.0542
Skill,BolsteringBubblebalmHealing,HP,2.728,3.0001,3.2922,3.605,3.9471,4.3092,4.692,5.1048,5.5276,5.9804,6.4532,6.956,7.4795,8.013,8.5865
Skill,FinalBounceHealing,HP,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Skill,SurgingBladeDMG,HP,0.0068,0.0074,0.0079,0.0086,0.0091,0.0096,0.0103,0.0109,0.0116,0.0123,0.013,0.0137,0.0145,0.0154,0.0162
Skill,SurgingBladeInterval,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,SkillDMG,HP,0.1177,0.1265,0.1354,0.1471,0.156,0.1648,0.1766,0.1883,0.2001,0.2119,0.2236,0.2354,0.2501,0.2648,0.2796
Burst,Duration,ATK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
