Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3346,0.3597,0.3848,0.4183,0.4434,0.4685,0.502,0.5354,0.5689,0.6024,0.6358,0.6693,0.7111,0.7529,0.7948
Normal,x2HitDMG,ATK,0.3062,0.3291,0.3521,0.3827,0.4057,0.4286,0.4592,0.4899,0.5205,0.5511,0.5817,0.6123,0.6506,0.6889,0.7271
Normal,x3HitDMG,ATK,0.3845,0.4133,0.4422,0.4806,0.5094,0.5383,0.5767,0.6152,0.6536,0.6921,0.7305,0.769,0.817,0.8651,0.9131
Normal,x4HitDMG,ATK,0.4792,0.5151,0.5511,0.599,0.6349,0.6708,0.7188,0.7667,0.8146,0.8625,0.9104,0.9584,1.0182,1.0781,1.138
Normal,ChargedAttackDMG,ATK,1.2016,1.2917,1.3818,1.502,1.5921,1.6822,1.8024,1.9226,2.0427,2.1629,2.283,2.4032,2.5534,2.7036,2.8538
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,2.112,2.2704,2.4288,2.64,2.7984,2.9568,3.168,3.3792,3.5904,3.8016,4.0128,4.224,4.488,4.752,5.016
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,DoT,ATK,1.48,1.591,1.702,1.85,1.961,2.072,2.22,2.368,2.516,2.664,2.812,2.96,3.145,3.33,3.515
Burst,AdditionalElementalDMG,ATK,0.44,0.473,0.506,0.55,0.583,0.616,0.66,0.704,0.748,0.792,0.836,0.88,0.935,0.99,1.045
Burst,Duration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
