Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4439,0.4801,0.5162,0.5678,0.604,0.6453,0.702,0.7588,0.8156,0.8775,0.9395,1.0014,1.0634,1.1253,1.1873
Normal,x2HitDMG,ATK,0.4363,0.4718,0.5073,0.558,0.5935,0.6341,0.6899,0.7457,0.8015,0.8624,0.9233,0.9842,1.045,1.1059,1.1668
Normal,x3HitDMG,ATK,0.2879,0.3097,0.3315,0.3626,0.3845,0.4094,0.4436,0.4779,0.5122,0.5496,0.5869,0.6243,0.6617,0.6991,0.7364
Normal,x4HitDMG,ATK,0.6736,0.7284,0.7832,0.8615,0.9163,0.979,1.0652,1.1513,1.2375,1.3314,1.4254,1.5194,1.6134,1.7074,1.8014
Normal,ChargedAttackDMG,ATK,1.1275,1.2192,1.311,1.4421,1.5339,1.6387,1.783,1.9272,2.0714,2.2287,2.386,2.5433,2.7007,2.858,3.0153
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,1.464,1.5738,1.6836,1.83,1.9398,2.0496,2.196,2.3424,2.4888,2.6352,2.7816,2.928,3.111,3.294,3.477
Skill,ShieldDMGAbsorption,HP,7.002,7.7074,8.4628,9.28,10.1454,11.0808,12.068,13.1152,14.2224,15.3796,16.6068,17.884,19.223,20.622,22.071
Skill,ShieldDuration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Skill,MaxShieldDMGAbsorption,HP,19.066,20.9707,23.0354,25.255,27.6297,30.1644,32.854,35.7036,38.7132,41.8828,45.2024,48.682,52.3265,56.121,60.0855
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,0.88,0.946,1.012,1.1,1.166,1.232,1.32,1.408,1.496,1.584,1.672,1.76,1.87,1.98,2.09
Burst,FieryCollapseDMG,ATK,0.58,0.6235,0.667,0.725,0.7685,0.812,0.87,0.928,0.986,1.044,1.102,1.16,1.2325,1.305,1.3775
Burst,ShieldDMGAbsorption,HP,1.1114,1.2223,1.3432,1.4743,1.6152,1.756,1.9172,2.0783,2.2594,2.4406,2.6317,2.8429,3.0543,3.2757,3.5072
Burst,ShieldDuration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,ScorchingOoyoroiDuration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
