Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5508,0.5884,0.626,0.676,0.7136,0.7574,0.8138,0.8702,0.9264,0.9828,1.0392,1.0954,1.1518,1.2082,1.2646
Normal,x2HitDMG,ATK,0.5694,0.6082,0.647,0.6988,0.7376,0.7829,0.8411,0.8993,0.9576,1.0158,1.074,1.1322,1.1905,1.2487,1.3069
Normal,x3HitDMG,ATK,0.6855,0.7323,0.779,0.8413,0.8881,0.9426,1.0127,1.0828,1.1529,1.223,1.2931,1.3633,1.4334,1.5035,1.5736
Normal,x4HitDMG,ATK,0.7532,0.8046,0.856,0.9244,0.9758,1.0358,1.1128,1.1898,1.2668,1.344,1.421,1.498,1.575,1.652,1.7292
Normal,x5HitDMG,ATK,0.7154,0.7642,0.813,0.878,0.9268,0.9837,1.0569,1.1301,1.2032,1.2764,1.3496,1.4227,1.4959,1.5691,1.6423
Normal,x6HitDMG,ATK,0.9583,1.0237,1.089,1.1761,1.2415,1.3177,1.4157,1.5137,1.6117,1.7097,1.8077,1.9058,2.0038,2.1018,2.1998
Normal,ChargedAttackDMG,ATK,1.2109,1.2934,1.376,1.4861,1.5686,1.665,1.7888,1.9126,2.0365,2.1603,2.2842,2.408,2.5318,2.6557,2.7795
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.8183,0.8849,0.9516,1.0467,1.1133,1.1894,1.2941,1.3988,1.5035,1.6176,1.7318,1.846,1.9602,2.0744,2.1886
Normal,LowHighPlungeDMG,HP,3.6802,3.9797,4.2793,4.7072,5.0068,5.3491,5.8198,6.2906,6.7613,7.2748,7.7883,8.3018,8.8153,9.3288,9.8423
Skill,SkillDMG,ATK,2.528,2.7176,2.9072,3.16,3.3496,3.5392,3.792,4.0448,4.2976,4.5504,4.8032,5.056,5.372,5.688,6.004
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,NormalChargedPlungingAttackDMGBonus,ATK,0.5845,0.6195,0.6545,0.7,0.735,0.77,0.8155,0.861,0.9065,0.952,0.9975,1.043,1.0885,1.134,1.1795
Burst,LifeDrain,HP,0.03,0.03,0.03,0.025,0.025,0.025,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
