Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4661,0.5041,0.542,0.5962,0.6341,0.6775,0.7371,0.7967,0.8564,0.9214,0.9959,1.0836,1.1712,1.2588,1.3545
Normal,x2HitDMG,ATK,0.4764,0.5152,0.554,0.6094,0.6482,0.6925,0.7534,0.8144,0.8753,0.9418,1.018,1.1076,1.1971,1.2867,1.3844
Normal,x3HitDMG,ATK,0.571,0.6176,0.664,0.7304,0.7768,0.83,0.903,0.976,1.0492,1.1288,1.2202,1.3274,1.4348,1.5422,1.6594
Normal,x4HitDMG,ATK,0.5599,0.6054,0.651,0.7161,0.7617,0.8138,0.8854,0.957,1.0286,1.1067,1.1962,1.3015,1.4067,1.512,1.6268
Normal,x5HitDMG,ATK,0.7172,0.7756,0.834,0.9174,0.9758,1.0426,1.1342,1.226,1.3178,1.4178,1.5324,1.6674,1.8022,1.937,2.0842
Normal,ChargedAttackDMG,ATK,1.0346,1.1188,1.203,1.3233,1.4075,1.5038,1.6361,1.7684,1.9007,2.0451,2.2105,2.4051,2.5996,2.7941,3.0062
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,3.592,3.8614,4.1308,4.49,4.7594,5.0288,5.388,5.7472,6.1064,6.4656,6.8248,7.184,7.633,8.082,8.531
Skill,DamageReductionRatio,ATK,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.29,0.29,0.29,0.29,0.29
Skill,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Skill,CD,ATK,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Burst,SwordRainDMG,ATK,0.5427,0.5834,0.6241,0.6784,0.7191,0.7598,0.8141,0.8684,0.9226,0.9769,1.0312,1.0854,1.1533,1.2211,1.289
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
