Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3966,0.4263,0.4561,0.4957,0.5255,0.5552,0.5949,0.6345,0.6742,0.7139,0.7535,0.7932,0.8427,0.8923,0.9419
Normal,x2HitDMG,ATK,0.3852,0.4141,0.443,0.4815,0.5104,0.5393,0.5778,0.6163,0.6548,0.6933,0.7319,0.7704,0.8185,0.8667,0.9148
Normal,x3HitDMG,ATK,0.5689,0.6116,0.6542,0.7111,0.7538,0.7964,0.8533,0.9102,0.9671,1.024,1.0809,1.1378,1.2089,1.28,1.3511
Normal,ChargedAttackDMG,ATK,1.4289,1.5361,1.6433,1.7862,1.8934,2.0005,2.1434,2.2863,2.4292,2.5721,2.715,2.8579,3.0365,3.2151,3.3938
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SesshouSakuraDMGLevel1,ATK,0.6067,0.6522,0.6977,0.7584,0.8039,0.8494,0.9101,0.9708,1.0314,1.0921,1.1528,1.2134,1.2893,1.3651,1.441
Skill,SesshouSakuraDMGLevel2,ATK,0.7584,0.8153,0.8722,0.948,1.0049,1.0618,1.1376,1.2134,1.2893,1.3651,1.441,1.5168,1.6116,1.7064,1.8012
Skill,SesshouSakuraDMGLevel3,ATK,0.948,1.0191,1.0902,1.185,1.2561,1.3272,1.422,1.5168,1.6116,1.7064,1.8012,1.896,2.0145,2.133,2.2515
Skill,SesshouSakuraDMGLevel4,ATK,1.185,1.2739,1.3628,1.4813,1.5701,1.659,1.7775,1.896,2.0145,2.133,2.2515,2.37,2.5181,2.6662,2.8144
Skill,Duration,ATK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Skill,CD,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,SkillDMG,ATK,2.6,2.795,2.99,3.25,3.445,3.64,3.9,4.16,4.42,4.68,4.94,5.2,5.525,5.85,6.175
Burst,TenkoThunderboltDMG,ATK,3.3382,3.5885,3.8389,4.1727,4.4231,4.6734,5.0072,5.3411,5.6749,6.0087,6.3425,6.6763,7.0936,7.5109,7.9281
Burst,CD,ATK,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Burst,EnergyCost,ATK,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
