Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5834,0.6272,0.6709,0.7293,0.773,0.8168,0.8751,0.9335,0.9918,1.0501,1.1085,1.1668,1.2398,1.3127,1.3856
Normal,x2HitDMG,ATK,0.5213,0.5604,0.5994,0.6516,0.6907,0.7298,0.7819,0.834,0.8861,0.9383,0.9904,1.0425,1.1077,1.1728,1.238
Normal,x3HitDMG,ATK,0.7601,0.8171,0.8741,0.9502,1.0072,1.0642,1.1402,1.2162,1.2922,1.3682,1.4442,1.5203,1.6153,1.7103,1.8053
Normal,ChargedAttack,ATK,6.6449,7.0428,7.4407,7.958,8.3559,8.7538,9.2711,9.7884,10.3056,10.8228,11.3402,11.8574,12.3747,12.892,13.4092
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,ScarletSealStaminaConsumptionDecrease,ATK,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Normal,ScarletSealDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,1.696,1.8232,1.9504,2.12,2.2472,2.3744,2.544,2.7136,2.8832,3.0528,3.2224,3.392,3.604,3.816,4.028
Skill,CD,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,SkillDMG,ATK,1.824,1.9608,2.0976,2.28,2.4168,2.5536,2.736,2.9184,3.1008,3.2832,3.4656,3.648,3.876,4.104,4.332
Burst,ScarletSealGrantInterval,ATK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burst,ChargedAttackDMGBonus,ATK,0.334,0.354,0.374,0.4,0.42,0.44,0.466,0.492,0.518,0.544,0.57,0.596,0.622,0.648,0.674
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
