Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.51,0.5515,0.593,0.6523,0.6939,0.7413,0.8065,0.8718,0.937,1.0082,1.0793,1.1505,1.2217,1.2928,1.364
Normal,x2HitDMG,ATK,0.4744,0.513,0.5517,0.6068,0.6454,0.6896,0.7503,0.8109,0.8716,0.9378,1.004,1.0702,1.1364,1.2026,1.2688
Normal,x3HitDMG,ATK,0.6433,0.6956,0.748,0.8227,0.8751,0.935,1.0172,1.0994,1.1818,1.2715,1.3612,1.451,1.5408,1.6305,1.7203
Normal,x4HitDMG,ATK,0.7793,0.8427,0.9062,0.9968,1.0602,1.1327,1.2324,1.3321,1.4318,1.5405,1.6492,1.758,1.8667,1.9755,2.0842
Normal,ChargedAttackDMG,ATK,1.1266,1.2183,1.31,1.441,1.5327,1.6375,1.7816,1.9257,2.0698,2.227,2.3842,2.5414,2.6986,2.8558,3.013
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,WhiteJadeRadishDMG,ATK,0.2992,0.3216,0.3441,0.374,0.3964,0.4189,0.4488,0.4787,0.5086,0.5386,0.5685,0.5984,0.6358,0.6732,0.7106
Skill,WhiteJadeRadishHealing,HP,1.6671,1.8384,2.0097,2.2114,2.4127,2.634,2.8757,3.1274,3.3891,3.6609,3.9526,4.2543,4.5764,4.9086,5.2507
Skill,YueguiThrowingModeDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,WhiteJadeRadishDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,1.1456,1.2315,1.3174,1.432,1.5179,1.6038,1.7184,1.833,1.9475,2.0621,2.1766,2.2912,2.4344,2.5776,2.7208
Burst,AdeptalLegacyWhiteJadeRadishDMG,ATK,0.7216,0.7757,0.8298,0.902,0.9561,1.0102,1.0824,1.1546,1.2267,1.2989,1.371,1.4432,1.5334,1.6236,1.7138
Burst,AdeptalLegacyWhiteJadeRadishHealing,HP,1.9602,2.1617,2.3732,2.5952,2.8467,3.1082,3.3803,3.6723,3.9843,4.3063,4.6483,5.0103,5.3829,5.7754,6.1779
Burst,DendroRESBonus,ATK,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Burst,AdeptalLegacyDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
