Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4068,0.4399,0.473,0.5203,0.5534,0.5913,0.6433,0.6953,0.7473,0.8041,0.8609,0.9176,0.9744,1.0311,1.0879
Normal,x2HitDMG,ATK,0.3904,0.4222,0.454,0.4994,0.5312,0.5675,0.6174,0.6674,0.7173,0.7718,0.8263,0.8808,0.9352,0.9897,1.0442
Normal,x3HitDMG,ATK,0.516,0.558,0.6,0.66,0.702,0.75,0.816,0.882,0.948,1.02,1.092,1.164,1.236,1.308,1.38
Normal,x4HitDMG,ATK,0.6502,0.703,0.756,0.8316,0.8846,0.945,1.0282,1.1114,1.1944,1.2852,1.376,1.4666,1.5574,1.648,1.7388
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,BreakthroughBarbDMG,HP,0.1158,0.1244,0.1331,0.1447,0.1534,0.1621,0.1736,0.1852,0.1968,0.2084,0.2199,0.2315,0.246,0.2605,0.2749
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,HP,0.2261,0.2431,0.2601,0.2827,0.2996,0.3166,0.3392,0.3618,0.3844,0.407,0.4297,0.4523,0.4805,0.5088,0.5371
Skill,MaxDurationHold,ATK,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,SkillDMG,HP,0.0731,0.0786,0.084,0.0913,0.0968,0.1023,0.1096,0.1169,0.1242,0.1315,0.1389,0.1462,0.1553,0.1644,0.1736
Burst,ExquisiteThrowDMG,HP,0.0787,0.0824,0.086,0.0909,0.0946,0.0982,0.1031,0.108,0.1128,0.1177,0.1226,0.1274,0.1335,0.1396,0.1457
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
