Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4051,0.438,0.471,0.5181,0.5511,0.5888,0.6406,0.6924,0.7442,0.8007,0.8572,0.9137,0.9703,1.0268,1.0833
Normal,x2HitDMG,ATK,0.4025,0.4352,0.468,0.5148,0.5476,0.585,0.6365,0.688,0.7394,0.7956,0.8518,0.9079,0.9641,1.0202,1.0764
Normal,x3HitDMG,ATK,0.5048,0.5459,0.587,0.6457,0.6868,0.7338,0.7983,0.8629,0.9275,0.9979,1.0683,1.1388,1.2092,1.2797,1.3501
Normal,x4HitDMG,ATK,0.528,0.571,0.614,0.6754,0.7184,0.7674,0.835,0.9025,0.9701,1.0438,1.1175,1.1912,1.2648,1.3385,1.4122
Normal,x5HitDMG,ATK,0.6734,0.7282,0.783,0.8613,0.9161,0.9787,1.0649,1.151,1.2371,1.3311,1.4251,1.519,1.613,1.7069,1.8009
Normal,ChargedAttack,ATK,1.2169,1.316,1.415,1.5565,1.6556,1.7687,1.9244,2.08,2.2357,2.4055,2.6001,2.8289,3.0577,3.2865,3.5361
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,PressDMG,DEF,1.4912,1.603,1.7149,1.864,1.9758,2.0877,2.2368,2.3859,2.535,2.6842,2.8333,2.9824,3.1688,3.3552,3.5416
Skill,ChargeLevel1DMG,DEF,2.6096,2.8053,3.001,3.262,3.4577,3.6534,3.9144,4.1754,4.4363,4.6973,4.9582,5.2192,5.5454,5.8716,6.1978
Skill,ChargeLevel2DMG,DEF,3.728,4.0076,4.2872,4.66,4.9396,5.2192,5.592,5.9648,6.3376,6.7104,7.0832,7.456,7.922,8.388,8.854
Skill,ShieldDMGAbsorption,HP,11.67,12.839,14.098,15.46,16.909,18.468,20.11,21.862,23.704,25.636,27.668,29.8,32.035,34.36,36.785
Skill,CD,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,SkillDMG,ATK,2.44,2.623,2.806,3.05,3.233,3.416,3.66,3.904,4.148,4.392,4.636,4.88,5.185,5.49,5.795
Burst,DMGIncrease,DEF,0.3216,0.3457,0.3698,0.402,0.4261,0.4502,0.4824,0.5146,0.5467,0.5789,0.611,0.6432,0.6834,0.7236,0.7638
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,TriggerQuota,ATK,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
