Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3077,0.3327,0.3578,0.3936,0.4186,0.4472,0.4866,0.5259,0.5653,0.6082,0.6574,0.7153,0.7731,0.831,0.8941
Normal,x2HitDMG,ATK,0.3115,0.3369,0.3622,0.3985,0.4238,0.4528,0.4926,0.5325,0.5723,0.6158,0.6656,0.7242,0.7827,0.8413,0.9052
Normal,x3HitDMG,ATK,0.3858,0.4172,0.4486,0.4934,0.5248,0.5607,0.61,0.6594,0.7087,0.7626,0.8242,0.8968,0.9693,1.0418,1.121
Normal,x4HitDMG,ATK,0.4294,0.4643,0.4993,0.5492,0.5842,0.6241,0.679,0.734,0.7889,0.8488,0.9174,0.9982,1.0789,1.1597,1.2477
Normal,x5HitDMG,ATK,0.1475,0.1563,0.165,0.1775,0.1862,0.1962,0.21,0.2238,0.2375,0.2525,0.2697,0.2899,0.3101,0.3303,0.3524
Normal,x6HitDMG,ATK,0.545,0.5893,0.6337,0.697,0.7414,0.7921,0.8618,0.9315,1.0012,1.0773,1.1644,1.2669,1.3693,1.4718,1.5836
Normal,ChargedAttackDMG,ATK,1.1103,1.2006,1.291,1.4201,1.5105,1.6137,1.7558,1.8978,2.0398,2.1947,2.3722,2.581,2.7897,2.9985,3.2262
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,StoneSteleResonanceDMG,ATK,0.48,0.516,0.552,0.6,0.636,0.672,0.72,0.768,0.816,0.864,0.912,0.96,1.02,1.08,1.14
Skill,PressCD,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Skill,HoldDMG,ATK,0.8,0.86,0.92,1,1.06,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.7,1.8,1.9
Skill,ShieldBaseAbsorption,ATK,1232,1356,1489,1633,1787,1951,2126,2311,2506,2712,2927,3153,3389,3636,3893
Skill,AdditionalShieldAbsorption,HP,0.128,0.1376,0.1472,0.16,0.1696,0.1792,0.192,0.2048,0.2176,0.2304,0.2432,0.256,0.272,0.288,0.304
Skill,ShieldDuration,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Skill,HoldCD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,SkillDMG,ATK,4.0108,4.4444,4.878,5.42,5.9078,6.3956,7.046,7.6964,8.3468,8.9972,9.6476,10.298,10.84,11.382,11.924
Burst,PetrificationDuration,ATK,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4,4,4,4,4
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
