Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.665,0.7191,0.7732,0.8506,0.9047,0.9665,1.0516,1.1367,1.2217,1.3145,1.4073,1.5001,1.5929,1.6857,1.7785
Normal,x2HitDMG,ATK,0.6619,0.7158,0.7697,0.8466,0.9005,0.9621,1.0468,1.1314,1.2161,1.3084,1.4008,1.4932,1.5855,1.6779,1.7702
Normal,x3HitDMG,ATK,0.5122,0.5522,0.5923,0.6495,0.6896,0.7354,0.7983,0.8613,0.9242,0.9929,1.0616,1.1302,1.1989,1.2676,1.3363
Normal,ChargedAttackLoopDMG,ATK,0.6252,0.6761,0.727,0.7997,0.8506,0.9087,0.9887,1.0687,1.1487,1.2359,1.3231,1.4104,1.4976,1.5849,1.6721
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.3933,2.5511,2.7089,2.8667,3.0245
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,Stage1DMG,ATK,0.656,0.7052,0.7544,0.82,0.8692,0.9184,0.984,1.0496,1.1152,1.1808,1.2464,1.312,1.394,1.476,1.558
Skill,Stage2DMG,ATK,1.888,2.0296,2.1712,2.36,2.5016,2.6432,2.832,3.0208,3.2096,3.3984,3.5872,3.776,4.012,4.248,4.484
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,WaterBallDMG,ATK,0.2011,0.2162,0.2313,0.2514,0.2665,0.2816,0.3017,0.3218,0.3419,0.362,0.3821,0.4022,0.4274,0.4525,0.4777
Burst,Duration,ATK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Burst,CD,ATK,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Burst,EnergyCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
