Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3674,0.3973,0.4272,0.4699,0.4998,0.534,0.581,0.628,0.675,0.7262,0.785,0.8541,0.9231,0.9922,1.0676
Normal,x2HitDMG,ATK,0.3674,0.3973,0.4272,0.4699,0.4998,0.534,0.581,0.628,0.675,0.7262,0.785,0.8541,0.9231,0.9922,1.0676
Normal,x3HitDMG,ATK,0.4745,0.5132,0.5518,0.607,0.6456,0.6898,0.7504,0.8111,0.8718,0.9381,1.0139,1.1032,1.1924,1.2816,1.3789
Normal,x4HitDMG,ATK,0.4975,0.538,0.5785,0.6363,0.6768,0.7231,0.7868,0.8504,0.914,0.9834,1.063,1.1565,1.2501,1.3436,1.4457
Normal,x5HitDMG,ATK,0.6207,0.6713,0.7218,0.794,0.8445,0.9022,0.9816,1.061,1.1404,1.227,1.3263,1.443,1.5597,1.6764,1.8038
Normal,ChargedAttackDMG,ATK,1.075,1.1625,1.25,1.375,1.4625,1.5625,1.7,1.8375,1.975,2.125,2.2968,2.499,2.7011,2.9032,3.1237
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,1.304,1.4018,1.4996,1.63,1.7278,1.8256,1.956,2.0864,2.2168,2.3472,2.4776,2.608,2.771,2.934,3.097
Skill,TransientBlossomDMG,DEF,1.336,1.4362,1.5364,1.67,1.7702,1.8704,2.004,2.1376,2.2712,2.4048,2.5384,2.672,2.839,3.006,3.173
Skill,Duration,ATK,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Skill,SkillCD,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,BurstDMG,ATK,3.672,3.9474,4.2228,4.59,4.8654,5.1408,5.508,5.8752,6.2424,6.6096,6.9768,7.344,7.803,8.262,8.721
Burst,FatalBlossomDMG,ATK,0.72,0.774,0.828,0.9,0.954,1.008,1.08,1.152,1.224,1.296,1.368,1.44,1.53,1.62,1.71
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
