Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4488,0.4794,0.51,0.5508,0.5814,0.6171,0.663,0.7089,0.7548,0.8007,0.8466,0.8925,0.9384,0.9843,1.0302
Normal,x2HitDMG,ATK,0.4312,0.4606,0.49,0.5292,0.5586,0.5929,0.637,0.6811,0.7252,0.7693,0.8134,0.8575,0.9016,0.9457,0.9898
Normal,x3HitDMG,ATK,0.528,0.564,0.6,0.648,0.684,0.726,0.78,0.834,0.888,0.942,0.996,1.05,1.104,1.158,1.212
Normal,x4HitDMG,ATK,0.6565,0.7012,0.746,0.8057,0.8504,0.9027,0.9698,1.0369,1.1041,1.1712,1.2384,1.3055,1.3726,1.4398,1.5069
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,FreezeBombDMG,ATK,1.776,1.9092,2.0424,2.22,2.3532,2.4864,2.664,2.8416,3.0192,3.1968,3.3744,3.552,3.774,3.996,4.218
Skill,ChillwaterBombletDMG,ATK,0.4,0.43,0.46,0.5,0.53,0.56,0.6,0.64,0.68,0.72,0.76,0.8,0.85,0.9,0.95
Skill,ATKDecrease,ATK,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15
Skill,ATKDecreaseDuration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,CoilNormalAttackDMGBonus,ATK,0.3506,0.3716,0.3926,0.42,0.441,0.462,0.4894,0.5166,0.5439,0.5712,0.5985,0.6258,0.6532,0.6804,0.7077
Skill,RushingIceNormalAttackDMGBonus,ATK,0.2923,0.3097,0.3273,0.35,0.3675,0.385,0.4078,0.4305,0.4532,0.476,0.4988,0.5215,0.5443,0.567,0.5897
Skill,RushingIceDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,SkillDMG,ATK,3.592,3.8614,4.1308,4.49,4.7594,5.0288,5.388,5.7472,6.1064,6.4656,6.8248,7.184,7.633,8.082,8.531
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
