"Skill","Param","ScalingType","Level1","Level2","Level3","Level4","Level5","Level6","Level7","Level8","Level9","Level10","Level11","Level12","Level13","Level14","Level15"
"Normal","1HitDMG","ATK","0.4782","0.5171","0.556","0.6116","0.6505","0.695","0.7562","0.8173","0.8785","0.9452","1.0119","1.0786","1.1454","1.2121","1.2788"
"Normal","2HitDMG","ATK","0.4816","0.5208","0.56","0.616","0.6552","0.7","0.7616","0.8232","0.8848","0.952","1.0192","1.0864","1.1536","1.2208","1.288"
"Normal","3HitDMG","ATK","0.6605","0.7142","0.768","0.8448","0.8986","0.96","1.0445","1.129","1.2134","1.3056","1.3978","1.4899","1.5821","1.6742","1.7664"
"Normal","4HitDMG","ATK","0.7585","0.8203","0.882","0.9702","1.0319","1.1025","1.1995","1.2965","1.3936","1.4994","1.6052","1.7111","1.8169","1.9228","2.0286"
"Normal","ChargedAttackDMG","ATK","1.1103","1.2006","1.291","1.4201","1.5105","1.6137","1.7558","1.8978","2.0398","2.1947","2.3496","2.5045","2.6595","2.8144","2.9693"
"Normal","ChargedAttackStaminaCost","ATK","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"
"Normal","PlungeDMG","ATK","0.6393","0.6914","0.7434","0.8177","0.8698","0.9293","1.011","1.0928","1.1746","1.2638","1.353","1.4422","1.5314","1.6206","1.7098"
"Normal","LowHighPlungeDMG","ATK","2.8752","3.1091","3.3432","3.6775","3.9115","4.179","4.5467","4.9144","5.2822","5.6834","6.0846","6.4858","6.887","7.2881","7.6893"
"Skill","PressDMG","ATK","2.8672","3.0822","3.2973","3.584","3.799","4.0141","4.3008","4.5875","4.8742","5.161","5.4477","5.7344","6.0928","6.4512","6.8096"
"Skill","HoldDMG","ATK","3.584","3.8528","4.1216","4.48","4.7488","5.0176","5.376","5.7344","6.0928","6.4512","6.8096","7.168","7.616","8.064","8.512"
"Skill","CD","ATK","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Skill","HuntersMarkDuration","ATK","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Skill","HuntersPrecisionATKBonus","ATK","0.1166","0.1272","0.1378","0.1484","0.159","0.1696","0.1802","0.1908","0.2014","0.212","0.2247","0.2374","0.2502","0.2629","0.2756"
"Skill","HuntersPrecisionDuration","ATK","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Burst","FulguriteHuntingFieldDMG","ATK","0.7496","0.8058","0.862","0.937","0.9932","1.0494","1.1244","1.1994","1.2743","1.3493","1.4242","1.4992","1.5929","1.6866","1.7803"
"Burst","TugarinDMG","ATK","0.5022","0.5399","0.5776","0.6278","0.6655","0.7031","0.7533","0.8036","0.8538","0.904","0.9542","1.0045","1.0672","1.13","1.1928"
"Burst","Duration","ATK","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14"
"Burst","CD","ATK","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"Burst","EnergyCost","ATK","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70"
