Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3737,0.4017,0.4298,0.4671,0.4952,0.5232,0.5606,0.5979,0.6353,0.6727,0.71,0.7474,0.7941,0.8408,0.8875
Normal,x2HitDMG,ATK,0.3642,0.3916,0.4189,0.4553,0.4826,0.5099,0.5464,0.5828,0.6192,0.6556,0.6921,0.7285,0.774,0.8196,0.8651
Normal,x3HitDMG,ATK,0.2454,0.2623,0.2792,0.3018,0.3187,0.3356,0.3581,0.3807,0.4032,0.4257,0.4483,0.4708,0.499,0.5272,0.5554
Normal,x4HitDMG,ATK,0.5414,0.582,0.6226,0.6767,0.7173,0.7579,0.8121,0.8662,0.9203,0.9745,1.0286,1.0828,1.1504,1.2181,1.2858
Normal,ChargedAttackDMG,ATK,1.2104,1.3012,1.392,1.513,1.6038,1.6946,1.8156,1.9366,2.0577,2.1787,2.2998,2.4208,2.5721,2.7234,2.8747
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,0.792,0.8514,0.9108,0.99,1.0494,1.1088,1.188,1.2672,1.3464,1.4256,1.5048,1.584,1.683,1.782,1.881
Skill,Healing,HP,7.78,8.556,9.402,10.31,11.276,12.312,13.41,14.578,15.806,17.094,18.452,19.87,21.36,22.91,24.52
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,SeamlessShieldDMGAbsorption,HP,0.778,0.8586,0.9392,1.03,1.1306,1.2312,1.342,1.4528,1.5836,1.7044,1.8452,1.986,2.137,2.288,2.449
Burst,SeamlessShieldDuration,ATK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Burst,SeamlessShieldHealing,HP,5.062,5.5659,6.1098,6.705,7.3289,8.0028,8.718,9.4732,10.2684,11.1136,11.9888,12.914,13.8805,14.887,15.9435
Burst,SpiritveinDMG,ATK,0.9706,1.0434,1.1162,1.2133,1.2861,1.3589,1.456,1.553,1.6501,1.7472,1.8442,1.9413,2.0626,2.1839,2.3053
Burst,PulsingClarityDuration,ATK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
