Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3784,0.4068,0.4352,0.473,0.5014,0.5298,0.5676,0.6054,0.6433,0.6811,0.7205,0.7719,0.8234,0.8749,0.9263
Normal,x2HitDMG,ATK,0.3552,0.3818,0.4085,0.444,0.4706,0.4973,0.5328,0.5683,0.6038,0.6394,0.6763,0.7246,0.7729,0.8212,0.8695
Normal,x3HitDMG,ATK,0.4104,0.4412,0.472,0.513,0.5438,0.5746,0.6156,0.6566,0.6977,0.7387,0.7814,0.8372,0.893,0.9488,1.0047
Normal,x4HitDMG,ATK,0.552,0.5934,0.6348,0.69,0.7314,0.7728,0.828,0.8832,0.9384,0.9936,1.051,1.1261,1.2012,1.2762,1.3513
Normal,ChargedAttackDMG,ATK,1.6624,1.7871,1.9118,2.078,2.2027,2.3274,2.4936,2.6598,2.8261,2.9923,3.1652,3.3913,3.6174,3.8435,4.0696
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,HPRegenerationPerHit,HP,0.7275,0.7981,0.8786,0.9694,1.0599,1.1505,1.2613,1.362,1.4827,1.6035,1.7343,1.865,2.0059,2.1469,2.2978
Skill,ContinuousRegeneration,HP,3.89,4.283,4.696,5.15,5.643,6.156,6.7,7.284,7.898,8.542,9.226,9.94,10.675,11.45,12.265
Skill,DropletDMG,ATK,0.584,0.6278,0.6716,0.73,0.7738,0.8176,0.876,0.9344,0.9928,1.0512,1.1096,1.168,1.241,1.314,1.387
Skill,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Skill,CD,ATK,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Burst,Regeneration,HP,17.116,18.8292,20.6724,22.67,24.8032,27.0764,29.494,32.0516,34.7492,37.5968,40.5744,43.702,46.974,50.386,53.938
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
