Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.7112,0.7691,0.827,0.9097,0.9676,1.0338,1.1247,1.2157,1.3067,1.4059,1.5196,1.6533,1.7871,1.9208,2.0667
Normal,x2HitDMG,ATK,0.7086,0.7663,0.824,0.9064,0.9641,1.03,1.1206,1.2113,1.3019,1.4008,1.5141,1.6473,1.7806,1.9138,2.0592
Normal,x3HitDMG,ATK,0.8832,0.9551,1.027,1.1297,1.2016,1.2838,1.3967,1.5097,1.6227,1.7459,1.8871,2.0532,2.2192,2.3853,2.5665
Normal,x4HitDMG,ATK,0.8652,0.9356,1.006,1.1066,1.177,1.2575,1.3682,1.4788,1.5895,1.7102,1.8485,2.0112,2.1739,2.3365,2.514
Normal,x5HitDMG,ATK,1.1214,1.2127,1.304,1.4344,1.5257,1.63,1.7734,1.9169,2.0603,2.2168,2.3961,2.607,2.8178,3.0287,3.2587
Normal,ChargedAttackCyclicDMG,ATK,0.5624,0.6082,0.654,0.7194,0.7652,0.8175,0.8894,0.9614,1.0333,1.1118,1.2017,1.3075,1.4132,1.519,1.6343
Normal,ChargedAttackFinalDMG,ATK,1.0182,1.1011,1.184,1.3024,1.3853,1.48,1.6102,1.7405,1.8707,2.0128,2.1756,2.3671,2.5585,2.75,2.9588
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,ShieldDMGAbsorption,HP,14.004,15.4048,16.9156,18.55,20.2908,22.1516,24.136,26.2304,28.4348,30.7592,33.2036,35.758,38.436,41.224,44.132
Skill,BaseDMG,ATK,1.216,1.3072,1.3984,1.52,1.6112,1.7024,1.824,1.9456,2.0672,2.1888,2.3104,2.432,2.584,2.736,2.888
Skill,DMGBonusOnHitTaken,ATK,1.6,1.72,1.84,2,2.12,2.24,2.4,2.56,2.72,2.88,3.04,3.2,3.4,3.6,3.8
Skill,CD,ATK,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Burst,SkillDMG,ATK,1.216,1.3072,1.3984,1.52,1.6112,1.7024,1.824,1.9456,2.0672,2.1888,2.3104,2.432,2.584,2.736,2.888
Burst,LightningDMG,ATK,0.96,1.032,1.104,1.2,1.272,1.344,1.44,1.536,1.632,1.728,1.824,1.92,2.04,2.16,2.28
Burst,DMGReduction,ATK,0.2,0.21,0.22,0.24,0.25,0.26,0.28,0.3,0.32,0.34,0.35,0.36,0.37,0.38,0.39
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
