Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4455,0.4817,0.518,0.5698,0.6061,0.6475,0.7045,0.7615,0.8184,0.8806,0.9428,1.0049,1.0671,1.1292,1.1914
Normal,x2HitDMG,ATK,0.4274,0.4622,0.497,0.5467,0.5815,0.6212,0.6759,0.7306,0.7853,0.8449,0.9045,0.9642,1.0238,1.0835,1.1431
Normal,x3HitDMG,ATK,0.5461,0.5906,0.635,0.6985,0.743,0.7937,0.8636,0.9334,1.0033,1.0795,1.1557,1.2319,1.3081,1.3843,1.4605
Normal,x4HitDMG,ATK,0.5968,0.6454,0.694,0.7634,0.812,0.8675,0.9438,1.0202,1.0965,1.1798,1.2631,1.3464,1.4296,1.5129,1.5962
Normal,x5HitDMG,ATK,0.719,0.7775,0.836,0.9196,0.9781,1.045,1.137,1.2289,1.3209,1.4212,1.5215,1.6218,1.7222,1.8225,1.9228
Normal,ChargedAttackDMG,ATK,1.1662,1.2611,1.356,1.4916,1.5865,1.695,1.8442,1.9933,2.1425,2.3052,2.4679,2.6306,2.7934,2.9561,3.1188
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,PressDMG,ATK,1.376,1.4792,1.5824,1.72,1.8232,1.9264,2.064,2.2016,2.3392,2.4768,2.6144,2.752,2.924,3.096,3.268
Skill,ChargeLevel1DMG,ATK,1.76,1.892,2.024,2.2,2.332,2.464,2.64,2.816,2.992,3.168,3.344,3.52,3.74,3.96,4.18
Skill,ChargeLevel2DMG,ATK,1.84,1.978,2.116,2.3,2.438,2.576,2.76,2.944,3.128,3.312,3.496,3.68,3.91,4.14,4.37
Skill,ExplosionDMG,ATK,1.32,1.419,1.518,1.65,1.749,1.848,1.98,2.112,2.244,2.376,2.508,2.64,2.805,2.97,3.135
Skill,CD,ATK,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Burst,SkillDMG,ATK,2.328,2.5026,2.6772,2.91,3.0846,3.2592,3.492,3.7248,3.9576,4.1904,4.4232,4.656,4.947,5.238,5.529
Burst,ContinuousRegenerationPerSec,HP,5.83,6.4145,7.049,7.725,8.4495,9.224,10.05,10.926,11.842,12.808,13.824,14.89,16.0075,17.165,18.3825
Burst,ATKBonusRatio,ATK,0.56,0.602,0.644,0.7,0.742,0.784,0.84,0.896,0.952,1.008,1.064,1.12,1.19,1.26,1.33
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
