Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4985,0.5358,0.5732,0.6231,0.6605,0.6978,0.7477,0.7975,0.8474,0.8972,0.9471,0.9969,1.0592,1.1215,1.1838
Normal,x2HitDMG,ATK,0.4338,0.4663,0.4988,0.5422,0.5747,0.6073,0.6506,0.694,0.7374,0.7808,0.8241,0.8675,0.9217,0.9759,1.0302
Normal,x3HitDMG,ATK,0.646,0.6945,0.7429,0.8075,0.856,0.9044,0.969,1.0336,1.0982,1.1628,1.2274,1.292,1.3728,1.4535,1.5343
Normal,ChargedAttackDMG,ATK,1.0051,1.0805,1.1559,1.2564,1.3318,1.4072,1.5077,1.6082,1.7087,1.8092,1.9097,2.0102,2.1359,2.2615,2.3872
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Normal,SpiritbreathThornDMG,ATK,0.1117,0.1201,0.1284,0.1396,0.148,0.1564,0.1675,0.1787,0.1899,0.201,0.2122,0.2234,0.2373,0.2513,0.2652
Normal,SpiritbreathThornDMGInterval,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,xPhotoDMGPress,ATK,0.672,0.7224,0.7728,0.84,0.8904,0.9408,1.008,1.0752,1.1424,1.2096,1.2768,1.344,1.428,1.512,1.596
Skill,PhotoDMGHold,ATK,1.392,1.4964,1.6008,1.74,1.8444,1.9488,2.088,2.2272,2.3664,2.5056,2.6448,2.784,2.958,3.132,3.306
Skill,xSnappySilhouetteMarkDMG,ATK,0.392,0.4214,0.4508,0.49,0.5194,0.5488,0.588,0.6272,0.6664,0.7056,0.7448,0.784,0.833,0.882,0.931
Skill,xSnappySilhouetteMarkTriggerInterval,ATK,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Skill,xSnappySilhouetteMarkDuration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,xFocusedImpressionMarkDMG,ATK,0.406,0.4365,0.4669,0.5075,0.5379,0.5684,0.609,0.6496,0.6902,0.7308,0.7714,0.812,0.8627,0.9135,0.9643
Skill,xFocusedImpressionMarkTriggerInterval,ATK,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Skill,xFocusedImpressionMarkDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,FinisherFrameCastCD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,CastHealing,ATK,18.6457,20.4482,22.3906,24.5172,26.7196,29.062,31.5986,34.2652,37.0717,40.0083,43.0749,46.2815,49.6922,53.2229,56.9036
Burst,SkillDMG,ATK,0.7762,0.8344,0.8926,0.9702,1.0284,1.0866,1.1642,1.2419,1.3195,1.3971,1.4747,1.5523,1.6493,1.7464,1.8434
Burst,KameraContinuousRegeneration,ATK,0.6622,0.7291,0.796,0.8752,0.9521,1.039,1.1282,1.2275,1.3267,1.4259,1.5351,1.6543,1.7758,1.8974,2.0289
Burst,KameraDMG,ATK,0.0647,0.0695,0.0744,0.0808,0.0857,0.0906,0.097,0.1035,0.11,0.1164,0.1229,0.1294,0.1374,0.1455,0.1536
Burst,NewsflashFieldDuration,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
