Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,AimedShotATK,ATK,1.2450,1.3380,1.4310,1.5555,1.6485,1.7415,1.8660,1.9905,2.1150,2.2395,2.3640,2.4885,2.6440,2.7995,2.9550
Skill,NightsoulInit,COUNT,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Skill,NightsoulDuration,SECOND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,TapATK,ATK,0.8820,0.9482,1.0143,1.1025,1.1687,1.2348,1.3230,1.4112,1.4994,1.5876,1.6758,1.7640,1.8742,1.9845,2.0947
Charged,AnemoShellATK,ATK,1.5200,1.6340,1.7480,1.9000,2.0140,2.1280,2.2800,2.4320,2.5840,2.7360,2.8880,3.0400,3.2300,3.4200,3.6100
Charged,ConvertedShellATK,ATK,2.2800,2.4510,2.6220,2.8500,3.0210,3.1920,3.4200,3.6480,3.8760,4.1040,4.3320,4.5600,4.8450,5.1300,5.4150
Charged,C2SpiritReinsShellATK,ATK,4.0000,4.3000,4.6000,5.0000,5.3000,5.6000,6.0000,6.4000,6.8000,7.2000,7.6000,8.0000,8.5000,9.0000,9.5000
Passive,A1ExtraThirdShellChance,COUNT,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300
Passive,C1ExtraSecondShellChance,COUNT,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300
Passive,A4ConvertedBonusPerElement,DMG,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500
Passive,C6CritDMG,DMG,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000
Burst,SoulReaperShellATK,ATK,3.2400,3.4830,3.7260,4.0500,4.2930,4.5360,4.8600,5.1840,5.5080,5.8320,6.1560,6.4800,6.8850,7.2900,7.6950
Burst,SpiritReinsRadiantShellATK,ATK,1.3200,1.4190,1.5180,1.6500,1.7490,1.8480,1.9800,2.1120,2.2440,2.3760,2.5080,2.6400,2.8050,2.9700,3.1350
Burst,C2SpiritReinsRadiantShellATK,ATK,4.0000,4.3000,4.6000,5.0000,5.3000,5.6000,6.0000,6.4000,6.8000,7.2000,7.6000,8.0000,8.5000,9.0000,9.5000
Burst,C4SpiritReinsRadiantShellATK,ATK,2.6400,2.8380,3.0360,3.3000,3.4980,3.6960,3.9600,4.2240,4.4880,4.7520,5.0160,5.2800,5.6100,5.9400,6.2700
