Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4941,0.5343,0.5745,0.632,0.6722,0.7182,0.7814,0.8446,0.9078,0.9767,1.0457,1.1146,1.1836,1.2525,1.3214
Normal,x2HitDMG,ATK,0.4683,0.5065,0.5446,0.599,0.6372,0.6807,0.7406,0.8005,0.8604,0.9258,0.9911,1.0565,1.1218,1.1872,1.2525
Normal,x3HitDMG,ATK,0.6084,0.6578,0.7074,0.778,0.8276,0.8842,0.962,1.0398,1.1176,1.2026,1.2874,1.3722,1.4572,1.542,1.627
Normal,x4HitDMG,ATK,0.7512,0.8124,0.8735,0.9609,1.022,1.0919,1.188,1.2841,1.3802,1.485,1.5898,1.6946,1.7995,1.9043,2.0091
Normal,ChargedAttackDMG,ATK,1.0862,1.1746,1.263,1.3892,1.4778,1.5788,1.7176,1.8566,1.9956,2.147,2.2986,2.4502,2.6018,2.7534,2.905
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,TamotoDMG,DEF,1.8468,1.9853,2.1238,2.3085,2.447,2.5855,2.7702,2.9549,3.1396,3.3242,3.5089,3.6936,3.9244,4.1553,4.3861
Skill,TamotoDuration,ATK,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Skill,TamotoAttackInterval,ATK,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Skill,UpwardSweepAttackDMG,DEF,3.3588,3.6107,3.8626,4.1985,4.4505,4.7023,5.0382,5.3741,5.71,6.0458,6.3817,6.7176,7.1375,7.5573,7.9771
Skill,CD,ATK,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Burst,SkillDMG,DEF,5.7672,6.1997,6.6323,7.209,7.6415,8.0741,8.6508,9.2275,9.8042,10.381,10.9577,11.5344,12.2553,12.9762,13.6971
Burst,CD,ATK,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Burst,EnergyCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
