Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5406,0.5846,0.6286,0.6915,0.7355,0.7857,0.8549,0.924,0.9932,1.0686,1.1441,1.2195,1.2949,1.3703,1.4458
Normal,x2HitDMG,ATK,0.5163,0.5583,0.6003,0.6604,0.7024,0.7504,0.8164,0.8825,0.9485,1.0206,1.0926,1.1646,1.2367,1.3087,1.3808
Normal,x3HitDMG,ATK,0.6838,0.7394,0.795,0.8744,0.9302,0.9938,1.0812,1.1686,1.2562,1.3516,1.447,1.5422,1.6376,1.7332,1.8286
Normal,x4HitDMG,ATK,0.6939,0.7506,0.807,0.8877,0.9441,1.0089,1.0974,1.1862,1.275,1.3719,1.4688,1.5657,1.6623,1.7592,1.8561
Normal,x5HitDMG,ATK,0.9001,0.9734,1.0466,1.1513,1.2246,1.3083,1.4234,1.5385,1.6537,1.7793,1.9049,2.0305,2.1561,2.2817,2.4072
Normal,ChargedAttackDMG,ATK,1.2814,1.3857,1.49,1.639,1.7433,1.8625,2.0264,2.1903,2.3542,2.533,2.7118,2.8906,3.0694,3.2482,3.427
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SwiftHuntDMG,ATK,0.6555,0.7088,0.7622,0.8384,0.8918,0.9528,1.0366,1.1205,1.2043,1.2957,1.3872,1.4786,1.5702,1.6616,1.7531
Skill,SwiftHuntBondOfLifeGain,HP,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Skill,ImpaleTheNightDMG,ATK,1.0504,1.1336,1.2166,1.3352,1.4183,1.5133,1.6437,1.7743,1.9049,2.0472,2.1896,2.332,2.4744,2.6168,2.7592
Skill,ImpaleTheNightHealing,ATK,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
Skill,BondOfLifeConversion,ATK,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Skill,SurgingBladeDMG,ATK,0.432,0.4644,0.4968,0.54,0.5724,0.6048,0.648,0.6912,0.7344,0.7776,0.8208,0.864,0.918,0.972,1.026
Skill,SurgingBladeInterval,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,NightVigilDuration,ATK,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Skill,CD,ATK,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Burst,SkillDMG,ATK,1.3188,1.414,1.5091,1.636,1.7312,1.8263,1.9532,2.0801,2.207,2.3338,2.4607,2.5876,2.7462,2.9048,3.0634
Burst,BondOfLifeGain,HP,0.66,0.72,0.78,0.84,0.9,0.96,1.02,1.08,1.14,1.2,1.26,1.32,1.38,1.44,1.5
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
