Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4926,0.5327,0.5728,0.63,0.6701,0.716,0.779,0.842,0.905,0.9737,1.0424,1.1112,1.1799,1.2486,1.3173
Normal,x2HitDMG,ATK,0.4792,0.5182,0.5572,0.6129,0.6519,0.6965,0.7578,0.8191,0.8804,0.9473,1.0141,1.081,1.1479,1.2147,1.2816
Normal,x3HitDMG,ATK,0.5862,0.6338,0.6816,0.7496,0.7974,0.852,0.9268,1.0018,1.0768,1.1586,1.2404,1.3222,1.404,1.4858,1.5676
Normal,x4HitDMG,ATK,0.7589,0.8207,0.8824,0.9707,1.0325,1.1031,1.2001,1.2972,1.3943,1.5002,1.6061,1.712,1.8178,1.9237,2.0296
Normal,ChargedAttackDMG,ATK,1.2238,1.3234,1.423,1.5653,1.6649,1.7787,1.9353,2.0918,2.2483,2.4191,2.5899,2.7606,2.9314,3.1021,3.2729
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,1.304,1.4018,1.4996,1.63,1.7278,1.8256,1.956,2.0864,2.2168,2.3472,2.4776,2.608,2.771,2.934,3.097
Skill,MortuaryRiteDMG,ATK,1.568,1.6856,1.8032,1.96,2.0776,2.1952,2.352,2.5088,2.6656,2.8224,2.9792,3.136,3.332,3.528,3.724
Skill,PactswornPathclearerDurationBonus,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Skill,CD,ATK,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Skill,MortuaryRiteCD,ATK,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Burst,x1HitDMG,ATK,0.7828,0.8466,0.9103,1.0013,1.065,1.1378,1.238,1.3381,1.4382,1.5475,1.6567,1.7659,1.8752,1.9844,2.0936
Burst,x2HitDMG,ATK,0.8247,0.8918,0.9589,1.0548,1.122,1.1987,1.3042,1.4096,1.5151,1.6302,1.7453,1.8603,1.9754,2.0905,2.2056
Burst,x3HitDMG,ATK,1.0463,1.1315,1.2167,1.3383,1.4235,1.5208,1.6547,1.7885,1.9223,2.0683,2.2143,2.3603,2.5063,2.6523,2.7983
Burst,x4HitDMG,ATK,1.0338,1.118,1.2022,1.3224,1.4066,1.5028,1.635,1.7672,1.8994,2.0438,2.188,2.3322,2.4766,2.6208,2.765
Burst,x5HitDMG,ATK,1.3084,1.4149,1.5215,1.6736,1.7801,1.9018,2.0692,2.2365,2.4039,2.5865,2.769,2.9516,3.1342,3.3168,3.4993
Burst,ChargedAttackDMG,ATK,1.0105,1.0927,1.175,1.2925,1.3748,1.4688,1.598,1.7272,1.8565,1.9975,2.1385,2.2795,2.4205,2.5615,2.7025
Burst,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Burst,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Burst,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Burst,ElementalMasteryBonus,ATK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burst,BasicDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
