Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.6212,0.6717,0.7223,0.7945,0.8451,0.9029,0.9823,1.0618,1.1412,1.2279,1.3146,1.4013,1.4879,1.5746,1.6613
Normal,x2HitDMG,ATK,0.6171,0.6673,0.7176,0.7893,0.8395,0.897,0.9759,1.0548,1.1337,1.2199,1.306,1.3921,1.4782,1.5643,1.6504
Normal,x3HitDMG,ATK,0.7663,0.8287,0.8911,0.9802,1.0425,1.1138,1.2118,1.3099,1.4079,1.5148,1.6217,1.7287,1.8356,1.9425,2.0494
Normal,x4HitDMG,ATK,0.9529,1.0305,1.108,1.2188,1.2964,1.3851,1.5069,1.6288,1.7507,1.8837,2.0166,2.1496,2.2826,2.4155,2.5485
Normal,ChargedAttackCyclicDMG,ATK,0.5633,0.6091,0.655,0.7205,0.7663,0.8188,0.8908,0.9628,1.0349,1.1135,1.1921,1.2707,1.3493,1.4279,1.5065
Normal,ChargedAttackFinalDMG,ATK,1.0182,1.1011,1.184,1.3024,1.3853,1.48,1.6102,1.7405,1.8707,2.0128,2.1549,2.297,2.439,2.5811,2.7232
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,IndomitableFlameDMG,ATK,1.1288,1.2135,1.2981,1.411,1.4957,1.5803,1.6932,1.8061,1.919,2.0318,2.1447,2.2576,2.3987,2.5398,2.6809
Skill,RangingFlameDMG,ATK,1.328,1.4276,1.5272,1.66,1.7596,1.8592,1.992,2.1248,2.2576,2.3904,2.5232,2.656,2.822,2.988,3.154
Skill,FieldDMG,HP,0.6123,0.6582,0.7042,0.7654,0.8113,0.8572,0.9185,0.9797,1.0409,1.1022,1.1634,1.2246,1.3012,1.3777,1.4542
Skill,Mitigation,ATK,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.56,0.56
Skill,RedmanesBloodMaximum,HP,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Skill,FieldDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,FlameManesFistDMG,HP,1.0039,1.0792,1.1546,1.2549,1.3302,1.4055,1.5059,1.6063,1.7067,1.8071,1.9074,2.0078,2.1334,2.2589,2.3843
Burst,IncinerationDriveDMG,HP,1.4169,1.5232,1.6295,1.7712,1.8773,1.9836,2.1253,2.267,2.4087,2.5504,2.6921,2.8338,3.0108,3.1879,3.3651
Burst,Duration,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
