Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3612,0.3906,0.42,0.462,0.4914,0.525,0.5712,0.6174,0.6636,0.714,0.7717,0.8397,0.9076,0.9755,1.0496
Normal,x2HitDMG,ATK,0.3354,0.3627,0.39,0.429,0.4563,0.4875,0.5304,0.5733,0.6162,0.663,0.7166,0.7797,0.8428,0.9058,0.9746
Normal,x3HitDMG,ATK,0.4558,0.4929,0.53,0.583,0.6201,0.6625,0.7208,0.7791,0.8374,0.901,0.9739,1.0596,1.1453,1.231,1.3245
Normal,x4HitDMG,ATK,0.43,0.465,0.5,0.55,0.585,0.625,0.68,0.735,0.79,0.85,0.9187,0.9996,1.0805,1.1613,1.2495
Normal,x5HitDMG,ATK,0.5375,0.5813,0.625,0.6875,0.7312,0.7812,0.85,0.9187,0.9875,1.0625,1.1484,1.2495,1.3506,1.4516,1.5619
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9371,1.0196,1.1021,1.1845,1.2745
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.361,2.5296,2.6982,2.8669,3.0355
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,IcyPawDMG,ATK,0.4192,0.4506,0.4821,0.524,0.5554,0.5869,0.6288,0.6707,0.7126,0.7546,0.7965,0.8384,0.8908,0.9432,0.9956
Skill,BaseShieldDMGAbsorption,HP,7.002,7.6974,8.4528,9.27,10.1454,11.0708,12.058,13.1052,14.2124,15.3696,16.5968,17.874,19.203,20.602,22.051
Skill,Duration,ATK,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Skill,PressCD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,HoldCD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,0.8,0.86,0.92,1,1.06,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.7,1.8,1.9
Burst,ContinuousFieldDMG,ATK,0.5264,0.5659,0.6054,0.658,0.6975,0.737,0.7896,0.8422,0.8949,0.9475,1.0002,1.0528,1.1186,1.1844,1.2502
Burst,HPRegenerationOverTime,HP,5.1834,5.7074,6.2614,6.8667,7.5107,8.2047,8.93,9.7054,10.5307,11.386,12.2914,13.2367,14.2234,15.2601,16.3367
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
