Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.9021,0.9756,1.049,1.1539,1.2273,1.3112,1.4266,1.542,1.6574,1.7833,1.9092,2.0351,2.1609,2.2868,2.4127
Normal,x2HitDMG,ATK,0.8419,0.9105,0.979,1.0769,1.1454,1.2237,1.3314,1.4392,1.5468,1.6643,1.7817,1.8992,2.0168,2.1343,2.2517
Normal,x3HitDMG,ATK,1.284,1.3885,1.493,1.6423,1.7468,1.8663,2.0305,2.1947,2.3589,2.5381,2.7173,2.8964,3.0756,3.2547,3.4339
Normal,ChargedAttackSpinningDMG,ATK,0.6255,0.6764,0.7273,0.8,0.8509,0.9091,0.9891,1.0691,1.1491,1.2364,1.3364,1.454,1.5716,1.6892,1.8175
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.4163,2.6289,2.8416,3.0542,3.2862
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,TroubleshooterShotDMG,ATK,1.4728,1.5833,1.6937,1.841,1.9515,2.0619,2.2092,2.3565,2.5038,2.651,2.7983,2.9456,3.1297,3.3138,3.4979
Skill,AfterSalesServiceRoundDMG,ATK,0.3156,0.3393,0.3629,0.3945,0.4182,0.4418,0.4734,0.505,0.5365,0.5681,0.5996,0.6312,0.6707,0.7101,0.7495
Skill,CD,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,ConnectorDMG,ATK,0.1588,0.1707,0.1826,0.1985,0.2104,0.2224,0.2382,0.2541,0.27,0.2859,0.3018,0.3176,0.3375,0.3574,0.3772
Burst,ContinuousHealing,HP,6.4867,7.1317,7.8367,8.5934,9.3984,10.2634,11.1701,12.1467,13.1634,14.2401,15.3767,16.5634,17.8017,19.0901,20.4384
Burst,EnergyRegeneration,ATK,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.5
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
