Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.8424,0.9109,0.9795,1.0775,1.146,1.2244,1.3321,1.4399,1.5476,1.6652,1.7827,1.9002,2.0178,2.1353,2.2529
Normal,x2HitDMG,ATK,0.8068,0.8724,0.9381,1.0319,1.0976,1.1726,1.2758,1.379,1.4822,1.5948,1.7073,1.8199,1.9325,2.045,2.1576
Normal,x3HitDMG,ATK,1.019,1.102,1.1849,1.3034,1.3864,1.4812,1.6115,1.7418,1.8722,2.0144,2.1566,2.2988,2.441,2.5831,2.7253
Normal,x4HitDMG,ATK,1.238,1.3388,1.4396,1.5835,1.6843,1.7995,1.9578,2.1162,2.2746,2.4473,2.6201,2.7928,2.9656,3.1383,3.3111
Normal,ChargedAttackCyclicDMG,ATK,0.6252,0.6761,0.727,0.7997,0.8506,0.9087,0.9887,1.0687,1.1487,1.2359,1.3231,1.4104,1.4976,1.5849,1.6721
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.3933,2.5511,2.7089,2.8667,3.0245
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,UpwardThrustDMG,ATK,0.8304,0.8927,0.955,1.038,1.1003,1.1626,1.2456,1.3286,1.4117,1.4947,1.5778,1.6608,1.7646,1.8684,1.9722
Skill,FrostDMG,ATK,0.0716,0.077,0.0823,0.0895,0.0949,0.1002,0.1074,0.1146,0.1217,0.1289,0.136,0.1432,0.1522,0.1611,0.17
Skill,Level0ShatteringPressureDMG,ATK,2.0048,2.1552,2.3055,2.506,2.6564,2.8067,3.0072,3.2077,3.4082,3.6086,3.8091,4.0096,4.2602,4.5108,4.7614
Skill,Level1ShatteringPressureDMG,ATK,1.4893,1.601,1.7127,1.8616,1.9733,2.085,2.2339,2.3828,2.5318,2.6807,2.8297,2.9786,3.1647,3.3509,3.537
Skill,Level2ShatteringPressureDMG,ATK,1.5537,1.6702,1.7867,1.9422,2.0587,2.1753,2.3306,2.486,2.6414,2.7967,2.9521,3.1075,3.3017,3.4959,3.6901
Skill,Level3ShatteringPressureDMG,ATK,1.6182,1.7395,1.8609,2.0227,2.1441,2.2654,2.4272,2.589,2.7508,2.9127,3.0745,3.2363,3.4385,3.6409,3.8432
Skill,Level4ShatteringPressureDMG,ATK,2.4344,2.617,2.7996,3.043,3.2256,3.4082,3.6516,3.895,4.1385,4.3819,4.6254,4.8688,5.1731,5.4774,5.7817
Skill,SpiritbreathThornDMG,ATK,0.144,0.1548,0.1656,0.18,0.1908,0.2016,0.216,0.2304,0.2448,0.2592,0.2736,0.288,0.306,0.324,0.342
Skill,SpiritbreathThornInterval,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,SkillDMG,ATK,3.184,3.4228,3.6616,3.98,4.2188,4.4576,4.776,5.0944,5.4128,5.7312,6.0496,6.368,6.766,7.164,7.562
Burst,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
