Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.8386,0.9068,0.9751,1.0726,1.1408,1.2188,1.3261,1.4334,1.5406,1.6576,1.7746,1.8916,2.0086,2.1257,2.2427
Normal,x2HitDMG,ATK,0.7904,0.8548,0.9191,1.011,1.0754,1.1489,1.25,1.3511,1.4522,1.5625,1.6728,1.7831,1.8934,2.0037,2.114
Normal,x3HitDMG,ATK,1.0665,1.1533,1.2401,1.3641,1.4509,1.5501,1.6865,1.8229,1.9593,2.1081,2.2569,2.4057,2.5545,2.7034,2.8522
Normal,x4HitDMG,ATK,1.2795,1.3836,1.4878,1.6366,1.7407,1.8597,2.0234,2.187,2.3507,2.5292,2.7078,2.8863,3.0648,3.2434,3.4219
Normal,ChargedAttackCyclicDMG,ATK,0.6252,0.6761,0.727,0.7997,0.8506,0.9087,0.9887,1.0687,1.1487,1.2359,1.3231,1.4104,1.4976,1.5849,1.6721
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.3933,2.5511,2.7089,2.8667,3.0245
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.6415,0.6937,0.7459,0.8205,0.8727,0.9323,1.0144,1.0964,1.1785,1.268,1.3575,1.447,1.5365,1.626,1.7155
Normal,LowHighPlungeDMG,HP,2.8847,3.1195,3.3543,3.6898,3.9246,4.1929,4.5619,4.9308,5.2999,5.7023,6.1049,6.5074,6.91,7.3124,7.7149
Skill,PlungingAttackCharmedCloudstriderDMG,ATK,2.304,2.4768,2.6496,2.88,3.0528,3.2256,3.456,3.6864,3.9168,4.1472,4.3776,4.608,4.896,5.184,5.472
Skill,HPCost,HP,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Skill,CD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,SuanniManChaiSmashDMG,ATK,3.704,3.9818,4.2596,4.63,4.9078,5.1856,5.556,5.9264,6.2968,6.6672,7.0376,7.408,7.871,8.334,8.797
Burst,SkillHealing,HP,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Burst,WushouStanceDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
