Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3173,0.3432,0.369,0.4059,0.4317,0.4613,0.5018,0.5424,0.583,0.6273,0.678,0.7377,0.7974,0.857,0.9221
Normal,x2HitDMG,ATK,0.356,0.385,0.414,0.4554,0.4844,0.5175,0.563,0.6086,0.6541,0.7038,0.7607,0.8277,0.8946,0.9616,1.0346
Normal,x3HitDMG,ATK,0.4549,0.492,0.529,0.5819,0.6189,0.6612,0.7194,0.7776,0.8358,0.8993,0.972,1.0576,1.1431,1.2287,1.322
Normal,x4HitDMG,ATK,0.4549,0.492,0.529,0.5819,0.6189,0.6612,0.7194,0.7776,0.8358,0.8993,0.972,1.0576,1.1431,1.2287,1.322
Normal,x5HitDMG,ATK,0.4825,0.5217,0.561,0.6171,0.6564,0.7013,0.763,0.8247,0.8864,0.9537,1.0308,1.1216,1.2123,1.303,1.4019
Normal,x6HitDMG,ATK,0.5762,0.6231,0.67,0.737,0.7839,0.8375,0.9112,0.9849,1.0586,1.139,1.2311,1.3395,1.4478,1.5561,1.6743
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,AimedShotChargeLevel1,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,FrostflakeArrowDMG,ATK,1.28,1.376,1.472,1.6,1.696,1.792,1.92,2.048,2.176,2.304,2.432,2.56,2.72,2.88,3.04
Normal,FrostflakeArrowBloomDMG,ATK,2.176,2.3392,2.5024,2.72,2.8832,3.0464,3.264,3.4816,3.6992,3.9168,4.1344,4.352,4.624,4.896,5.168
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,InheritedHP,HP,1.2,1.29,1.38,1.5,1.59,1.68,1.8,1.92,2.04,2.16,2.28,2.4,2.55,2.7,2.85
Skill,SkillDMG,ATK,1.32,1.419,1.518,1.65,1.749,1.848,1.98,2.112,2.244,2.376,2.508,2.64,2.805,2.97,3.135
Skill,Duration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,IceShardDMG,ATK,0.7027,0.7554,0.8081,0.8784,0.9311,0.9838,1.0541,1.1244,1.1946,1.2649,1.3352,1.4054,1.4933,1.5811,1.669
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
