Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3775,0.4083,0.439,0.4829,0.5136,0.5487,0.597,0.6453,0.6936,0.7463,0.799,0.8517,0.9043,0.957,1.0097
Normal,x2HitDMG,ATK,0.3715,0.4018,0.432,0.4752,0.5054,0.54,0.5875,0.635,0.6826,0.7344,0.7862,0.8381,0.8899,0.9418,0.9936
Normal,x3HitDMG,ATK,0.4945,0.5347,0.575,0.6325,0.6727,0.7188,0.782,0.8453,0.9085,0.9775,1.0465,1.1155,1.1845,1.2535,1.3225
Normal,x4HitDMG,ATK,0.59,0.638,0.686,0.7546,0.8026,0.8575,0.933,1.0084,1.0839,1.1662,1.2485,1.3308,1.4132,1.4955,1.5778
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,1.072,1.1524,1.2328,1.34,1.4204,1.5008,1.608,1.7152,1.8224,1.9296,2.0368,2.144,2.278,2.412,2.546
Skill,DEFIncrease,DEF,206,222,237,258,273,289,309,330,350,371,392,412,438,464,490
Skill,GeoDMGBonus,ATK,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Skill,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,SkillDMG,DEF,0.9822,1.0558,1.1295,1.2277,1.3014,1.375,1.4732,1.5715,1.6697,1.7679,1.8661,1.9643,2.0871,2.2099,2.3326
Burst,CrystalCollapseDMG,DEF,0.613,0.659,0.7049,0.7663,0.8122,0.8582,0.9195,0.9808,1.0421,1.1034,1.1647,1.226,1.3026,1.3793,1.4559
Burst,Duration,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
