Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4689,0.5008,0.5328,0.5754,0.6074,0.6447,0.6926,0.7406,0.7885,0.8365,0.8844,0.9324,0.9804,1.0283,1.0763
Normal,x2HitDMG,ATK,0.4825,0.5154,0.5483,0.5922,0.6251,0.6635,0.7128,0.7622,0.8115,0.8609,0.9102,0.9596,1.0089,1.0583,1.1076
Normal,x3HitDMG,ATK,0.6105,0.6521,0.6938,0.7492,0.7909,0.8394,0.9019,0.9643,1.0267,1.0892,1.1516,1.2141,1.2765,1.3389,1.4014
Normal,x4HitDMG,ATK,0.6564,0.7012,0.7459,0.8056,0.8503,0.9026,0.9697,1.0368,1.104,1.1711,1.2382,1.3054,1.3725,1.4396,1.5068
Normal,x5HitDMG,ATK,0.6847,0.7314,0.7781,0.8404,0.887,0.9415,1.0115,1.0816,1.1516,1.2216,1.2917,1.3617,1.4317,1.5018,1.5718
Normal,x6HitDMG,ATK,0.8596,0.9182,0.9768,1.0549,1.1136,1.1819,1.2698,1.3578,1.4457,1.5336,1.6215,1.7094,1.7973,1.8852,1.9731
Normal,ChargedAttack,ATK,1.3596,1.4523,1.545,1.6686,1.7613,1.8694,2.0085,2.1476,2.2866,2.4256,2.5647,2.7037,2.8428,2.9818,3.1209
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6542,0.6988,0.7434,0.8029,0.8475,0.8995,0.9664,1.0333,1.1002,1.1671,1.234,1.301,1.3679,1.4348,1.5017
Normal,LowHighPlungeDMG,HP,2.942,3.1426,3.3432,3.6106,3.8112,4.0452,4.3461,4.647,4.9479,5.2488,5.5497,5.8505,6.1514,6.4523,6.7532
Skill,ActivationCost,HP,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Skill,ATKIncrease,HP,0.0384,0.0407,0.043,0.046,0.0483,0.0506,0.0536,0.0566,0.0596,0.0626,0.0655,0.0685,0.0715,0.0745,0.0775
Skill,BloodBlossomDMG,ATK,0.64,0.688,0.736,0.8,0.848,0.896,0.96,1.024,1.088,1.152,1.216,1.28,1.36,1.44,1.52
Skill,BloodBlossomDuration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Skill,Duration,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Skill,CD,ATK,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Burst,SkillDMG,ATK,3.0327,3.2143,3.3959,3.632,3.8136,3.9952,4.2313,4.4674,4.7034,4.9395,5.1756,5.4117,5.6478,5.8838,6.1199
Burst,LowHPSkillDMG,HP,3.7909,4.0179,4.2449,4.54,4.767,4.994,5.2891,5.5842,5.8793,6.1744,6.4695,6.7646,7.0597,7.3548,7.6499
Burst,SkillHPRegeneration,HP,0.0626,0.0664,0.0701,0.075,0.0787,0.0825,0.0874,0.0922,0.0971,0.102,0.1069,0.1117,0.1166,0.1215,0.1264
Burst,LowHPSkillRegeneration,HP,0.0835,0.0885,0.0935,0.1,0.105,0.11,0.1165,0.123,0.1295,0.136,0.1425,0.149,0.1555,0.162,0.1685
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
