Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5361,0.5763,0.6165,0.6701,0.7103,0.7505,0.8041,0.8577,0.9113,0.9649,1.0185,1.0721,1.1392,1.2062,1.2732
Normal,x2HitDMG,ATK,0.4747,0.5103,0.5459,0.5933,0.6289,0.6645,0.712,0.7595,0.8069,0.8544,0.9019,0.9493,1.0087,1.068,1.1273
Normal,x3HitDMG,ATK,0.7476,0.8037,0.8597,0.9345,0.9905,1.0466,1.1214,1.1961,1.2709,1.3457,1.4204,1.4952,1.5886,1.6821,1.7755
Normal,ChargedAttackDMG,ATK,1.4704,1.5807,1.691,1.838,1.9483,2.0586,2.2056,2.3526,2.4997,2.6467,2.7938,2.9408,3.1246,3.3084,3.4922
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,TonicshotDMG,ATK,1.3336,1.4336,1.5336,1.667,1.767,1.867,2.0004,2.1338,2.2671,2.4005,2.5338,2.6672,2.8339,3.0006,3.1673
Skill,TonicshotHealingOnHit,EM,0.6831,0.7463,0.8136,0.89,0.9653,1.0446,1.133,1.2254,1.3218,1.4222,1.5266,1.6351,1.7526,1.8741,1.9996
Skill,NightsoulPointLimit,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Skill,CD,ATK,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Burst,SkillDMG,ATK,5.0848,5.4662,5.8475,6.356,6.7374,7.1187,7.6272,8.1357,8.6442,9.1526,9.6611,10.1696,10.8052,11.4408,12.0764
Burst,SedationMarkDMG,ATK,1.0896,1.1713,1.253,1.362,1.4437,1.5254,1.6344,1.7434,1.8523,1.9613,2.0702,2.1792,2.3154,2.4516,2.5878
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
