Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4737,0.5122,0.5508,0.6058,0.6444,0.6885,0.749,0.8096,0.8702,0.9363,1.0024,1.0685,1.1346,1.2007,1.2668
Normal,x2HitDMG,ATK,0.4853,0.5248,0.5642,0.6207,0.6602,0.7053,0.7674,0.8294,0.8915,0.9592,1.0269,1.0946,1.1624,1.2301,1.2978
Normal,x3HitDMG,ATK,0.6286,0.6798,0.731,0.804,0.8552,0.9138,0.9942,1.0746,1.155,1.2426,1.3304,1.4182,1.5058,1.5936,1.6814
Normal,x4HitDMG,ATK,0.7628,0.8249,0.887,0.9757,1.0377,1.1087,1.2063,1.3038,1.4014,1.5078,1.6143,1.7207,1.8271,1.9336,2.04
Normal,ChargedAttackDMG,ATK,1.1103,1.2006,1.291,1.4201,1.5105,1.6137,1.7558,1.8978,2.0398,2.1947,2.3496,2.5045,2.6595,2.8144,2.9693
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,PressDMG,EM,7.2384,7.7813,8.3241,9.048,9.5909,10.1337,10.8576,11.5815,12.3053,13.0291,13.7529,14.4768,15.3816,16.2864,17.1912
Skill,HoldDMG,EM,9.048,9.7266,10.4052,11.31,11.9886,12.6672,13.572,14.4768,15.3816,16.2864,17.1912,18.096,19.227,20.358,21.489
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,EM,12.408,13.3386,14.2692,15.51,16.4406,17.3712,18.612,19.8528,21.0936,22.3344,23.5752,24.816,26.367,27.918,29.469
Burst,GeoDMGBonus,EM,0.336,0.3612,0.3864,0.42,0.4452,0.4704,0.504,0.5376,0.5712,0.6048,0.6384,0.672,0.714,0.756,0.798
Burst,LunarCrystallizeReactionDMGBonus,EM,2.2592,2.4286,2.5981,2.824,2.9934,3.1629,3.3888,3.6147,3.8406,4.0666,4.2925,4.5184,4.8008,5.0832,5.3656
Burst,NightingalesSongStacksGainedFromElementalBurst,ATK,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Burst,NightingalesSongStacksGainedFromGeoConstructs,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Burst,Duration,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
