Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4167,0.4507,0.4846,0.533,0.567,0.6057,0.659,0.7123,0.7656,0.8238,0.8819,0.9401,0.9982,1.0564,1.1145
Normal,x2HitDMG,ATK,0.2123,0.228,0.2436,0.266,0.2816,0.2995,0.3241,0.3487,0.3733,0.4002,0.427,0.4538,0.4807,0.5075,0.5343
Normal,x3HitDMG,ATK,0.512,0.5536,0.5953,0.6549,0.6965,0.7441,0.8096,0.8751,0.9406,1.012,1.0835,1.1549,1.2264,1.2978,1.3692
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SmokeBombDMG,ATK,1.59,1.7092,1.8285,1.9875,2.1068,2.226,2.385,2.544,2.703,2.862,3.021,3.18,3.3788,3.5775,3.7762
Skill,UnfilledTreasureFlaskDMG,ATK,1.908,2.0511,2.1942,2.385,2.5281,2.6712,2.862,3.0528,3.2436,3.4344,3.6252,3.816,4.0545,4.293,4.5315
Skill,FilledTreasureFlaskDMG,ATK,2.12,2.279,2.438,2.65,2.809,2.968,3.18,3.392,3.604,3.816,4.028,4.24,4.505,4.77,5.035
Skill,TreasureFlaskDuration,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Skill,MeowballDMG,ATK,1.28,1.376,1.472,1.6,1.696,1.792,1.92,2.048,2.176,2.304,2.432,2.56,2.72,2.88,3.04
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,2.072,2.2274,2.3828,2.59,2.7454,2.9008,3.108,3.3152,3.5224,3.7296,3.9368,4.144,4.403,4.662,4.921
Burst,PurrsonalCoordinatedAssistanceRobotDMG,ATK,0.1727,0.1856,0.1986,0.2158,0.2288,0.2417,0.259,0.2763,0.2935,0.3108,0.3281,0.3453,0.3669,0.3885,0.4101
Burst,PurrsonalCoordinatedAssistanceRobotDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,PurrsonalCoordinatedAssistanceRobotHealing,ATK,5.8087,6.3686,6.9685,7.6384,8.3183,9.0482,9.8381,10.668,11.5378,12.4577,13.4076,14.4074,15.4673,16.5671,17.717
Burst,LowestHPCharacterAdditionalHealing,HP,2.2372,2.4502,2.6833,2.934,3.197,3.4801,3.7808,4.1015,4.4422,4.793,5.1537,5.5444,5.9528,6.3712,6.8096
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
